ID,Selected Content,Sub_Question_1,Sub_Question_2,Raw_Stage1_Output
6,The room was exceptionally clean with a really comfortable bed,Did the room have a really comfortable bed?,Was the guest satisfied with their stay?,"[SUB_Q]Did the room have a really comfortable bed?[/SUB_Q]  
[SUB_Q]Was the guest satisfied with their stay?[/SUB_Q]"
8,nice location,Was the guest feeling that the nice location made their stay convenient?,Did the guest feel that being a nice location made their stay enjoyable?,"[SUB_Q]Was the guest feeling that the nice location made their stay convenient?[/SUB_Q]  
[SUB_Q]Did the guest feel that being a nice location made their stay enjoyable?[/SUB_Q]"
8,lovely personal,Was there a lovely personal experience during your stay?,Is the overall sentiment of this selected content positive or negative?,"[SUB_Q]Was there a lovely personal experience during your stay?[/SUB_Q]  
[SUB_Q]Is the overall sentiment of this selected content positive or negative?[/SUB_Q]"
9,very helpful host showed us how nearby bus takes to town-cntre (and airport by the way,Was the host helpful and provided directions to key locations like the bus station and airport?,Does showing directions contribute positively to enhancing the guests experience?,"To answer the question “What is the sentiment of this Selected Content?”, we need to know: 

[SUB_Q]Was the host helpful and provided directions to key locations like the bus station and airport?[/SUB_Q]

[SUB_Q]Does showing directions contribute positively to enhancing the guest's experience?[/SUB_Q]"
10,Great modern room comfortable bed,What are the details describing the guest experience in the specific room?,Was the guests experience with the room described as great modern and comfortable?,"[SUB_Q]What are the details describing the guest experience in the specific room?[/SUB_Q]  
[SUB_Q]Was the guest's experience with the room described as ""great modern"" and ""comfortable""?[/SUB_Q]"
10,quiet location,What did the guest experience at the hotels quiet location?,How does the guest feel about a quiet location?,"[SUB_Q]What did the guest experience at the hotel's quiet location?[/SUB_Q]  
[SUB_Q]How does the guest feel about a quiet location?[/SUB_Q]"
11,"The staff here are amazing beyond expectations..*****
  Maria at reception is just great she really took time to explain where to go how to get there and so helpful ... 🙏
  Richard the chef this guy is like the friendliest guy ever, such a nice guy with a permanent. Even the cleaning lady is so friendly and so nice to talk to. The owners are also great",,,The sentiment of this selected content is Positive.
11,Oh yeah the food is great to and very reasonable prices ..,Did the food at the hotel contain any issues or problems?,"Was the food rated as great to the guest, and were the prices very reasonable?","[SUB_Q]Did the food at the hotel contain any issues or problems?[/SUB_Q]

[SUB_Q]Was the food rated as 'great' to the guest, and were the prices very reasonable?[/SUB_Q]"
11,The rooms are spacious and clean great to stay .. I even got an upgrade,Did the hotel describe the rooms as spacious and clean?,Was there a mention of upgrading during the stay?,"[SUB_Q]Did the hotel describe the rooms as spacious and clean?[/SUB_Q]  
[SUB_Q]Was there a mention of upgrading during the stay?[/SUB_Q]"
11,The bus stop which goes to and from the airport as well as the town center is a minutes walk away and just 2 euros,Is there a problem at the bus stop near the airport and town center?,How did this proximity to the airport and town center impact the guests experience?,"[SUB_Q]Is there a problem at the bus stop near the airport and town center?[/SUB_Q]  
[SUB_Q]How did this proximity to the airport and town center impact the guest's experience?[/SUB_Q]"
12,The staff were exceptional. So helpful and friendly. Went out of their way for us.,Did the staff at [Hotel Name] demonstrate exceptional service?,How did the staff demonstrate exceptional service (fact) to resolve our needs?,"[SUB_Q]Did the staff at [Hotel Name] demonstrate exceptional service?[/SUB_Q]

[SUB_Q]How did the staff demonstrate exceptional service (fact) to resolve our needs?[/SUB_Q]"
12,The breakfast was lovely with room service too.,Was the breakfast of high quality?,Did the guest find the room service useful?,"To answer the question “What is the sentiment of this Selected Content?”, we need to know:  
[SUB_Q]Was the breakfast of high quality?[/SUB_Q]  
[SUB_Q]Did the guest find the room service useful?[/SUB_Q]"
12,Very clean and comfortable.,Did the guest experience a very clean environment?,Was the guest feeling comfortable during their stay?,"To answer the question ""What is the sentiment of this Selected Content?,"" we need to know: [SUB_Q]Did the guest experience a very clean environment?[/SUB_Q]  
[SUB_Q]Was the guest feeling comfortable during their stay?[/SUB_Q]"
13,"The rooms are lovely and new, very clean and comfortable. The mattress was to my taste.","Did the guests feel that the rooms were lovely, new, very clean, and very comfortable?",Was the comfort level particularly high due to the mattress?,"[SUB_Q]Did the guests feel that the rooms were lovely, new, very clean, and very comfortable?[/SUB_Q]

[SUB_Q]Was the comfort level particularly high due to the mattress?[/SUB_Q]"
13,"Short drive to the airport and very well located, just a short walk from the promenade, coffee shops restaurants.",What is the specific detail about the hotels proximity to the airport?,Was the hotel located near a promenade?,"[SUB_Q]What is the specific detail about the hotel's proximity to the airport?[/SUB_Q]  
[SUB_Q]Was the hotel located near a promenade?[/SUB_Q]  
[SUB_Q]How well was the hotel situated relative to dining options?[/SUB_Q]  

[SUB_Q]Did the guest encounter a problem with the drive time to the airport?[/SUB_Q]  
[SUB_Q]Was there any staff assistance provided to the guest during check-in?[/SUB_Q]"
13,"The staff are so welcoming, we felt like staying with family.",Did the staff at the hotel demonstrate sufficient willingness and attentiveness to make guests feel welcome?,How did the staffs welcoming manner impact the guests experience during their stay?,"[SUB_Q]Did the staff at the hotel demonstrate sufficient willingness and attentiveness to make guests feel welcome?[/SUB_Q]

[SUB_Q]How did the staff's welcoming manner impact the guest's experience during their stay?[/SUB_Q]"
14,We wanted a hotel for a night that is close to the airport and this hotel did that purpose more than fair. There are some restaurants and bars next to the beach just 10min of walking distance from the hotel.,,,
14,The receptionist didn't speak English properly,Did the receptionist speak English properly?,How did this incident affect the guests stay?,"[SUB_Q]Did the receptionist speak English properly?[/SUB_Q]

[SUB_Q]How did this incident affect the guest's stay?[/SUB_Q]"
14,You can hear the airplanes coming and leaving from the airport all the time,,,
15,"Chose really because it was reasonably close to the Airport for an early morning flight, yet could have a stroll along the nearby beach.",Was the room chosen because it was reasonably close to the airport for an early morning flight?,"Does the choice indicate that they preferred the beach as a destination, considering its proximity to the airport?","To answer the question ""What is the sentiment of this Selected Content?"", we need to know:

[SUB_Q]Was the room chosen because it was reasonably close to the airport for an early morning flight?[/SUB_Q]

[SUB_Q]Does the choice indicate that they preferred the beach as a destination, considering its proximity to the airport?[/SUB_Q]"
15,The staff make it,Did the staff make responsible decisions during the stay?,Was there a positive impact on the guests experience based on the staffs actions?,"To answer the question ""What is the sentiment of this Selected Content?"", we need to know:

[SUB_Q]Did the staff make responsible decisions during the stay?[/SUB_Q]

Knowing that the staff made a statement does provide context, but without more specific information about their actions or outcomes, it's not possible to determine the sentiment accurately. 

[SUB_Q]Was there a positive impact on the guest's experience based on the staff's actions?[/SUB_Q]

This sub-question links the staff's behavior to the overall sentiment, allowing us to assess whether their actions contributed positively to the guest's impression."
15,it is a bit on the edge of Larnaca - with frequent busses to the centre.,Is the guest located on the edge of Larnaca?,Does having frequent buses to the centre affect their experience?,"To answer the question “What is the sentiment of this Selected Content?”, we need to know:  
[SUB_Q]Is the guest located on the edge of Larnaca?[/SUB_Q]  
[SUB_Q]Does having frequent buses to the centre affect their experience?[/SUB_Q]"
16,"I liked the rooms- they are spacious, clean, the window view is nice too.",Sub_Q1 (Fact): Does the guest find the window view nice?,Sub_Q2 (Outcome): Did the guest find the rooms spacious and clean?,"The hotel review contains vague information about guest experience but provides details about room quality. To determine the sentiment of the selected content:

Sub_Q1 (Fact): Does the guest find the window view nice?

Sub_Q2 (Outcome): Did the guest find the rooms spacious and clean?"
16,"The restaurant downstairs is amazing- the food there is very very tasty and made with a lot of care- they care a lot about the details: olive oil galore, herbs- absolutely delicious!",Was the restaurant downstairs described as amazing?,How did the detailed service with olive oil and herbs enhance the food quality and experience?,"[SUB_Q]Was the restaurant downstairs described as ""amazing""?[/SUB_Q]  
[SUB_Q]How did the detailed service with olive oil and herbs enhance the food quality and experience?[/SUB_Q]"
17,The owner and staff were exceptionally friendly and supportive and helped with all our wishes.,Did the owner and staff show exceptional friendliness or support?,How did their friendliness and support contribute to addressing all the guests wishes?,"[SUB_Q]Did the owner and staff show exceptional friendliness or support?[/SUB_Q]  
[SUB_Q]How did their friendliness and support contribute to addressing all the guest's wishes?[/SUB_Q]"
17,Our room had a balcony with great view of the sea and surrounding area.,Sub_Q1 (Fact): Did we provide a great view with sea and surrounding area in our room?,Sub_Q2 (Outcome): Was resolving this feature more or less pleasant for guests?,"Sub_Q1 (Fact): Did we provide a great view with sea and surrounding area in our room?  
Sub_Q2 (Outcome): Was resolving this feature more or less pleasant for guests?"
19,Close to airport,Is the hotel located near an airport?,Does this proximity affect the guest’s overall experience at the hotel?,"[SUB_Q]Is the hotel located near an airport?[/SUB_Q]  
[SUB_Q]Does this proximity affect the guest’s overall experience at the hotel?[/SUB_Q]"
20,clean,Did the hotel staff or guests notice the room was dirty?,Was there any mention of cleanliness by guest during their stay?,"To answer the question “What is the sentiment of this Selected Content?”, we need to know:  
[SUB_Q]Did the hotel staff or guests notice the room was dirty?[/SUB_Q]  
[SUB_Q]Was there any mention of cleanliness by guest during their stay?[/SUB_Q]

Q: What is the sentiment of this Selected Content?
A: To determine this, I first need to know what caused the issue (Fact) and then what impact it had on the guest (Outcome)."
20,friendly stuff,Did the hotel provide friendly services?,Was there a positive impact on the guests experience?,"[SUB_Q]Did the hotel provide friendly services?[/SUB_Q]  
[SUB_Q]Was there a positive impact on the guest's experience?[/SUB_Q]"
22,"Room was perfect, looked new, clean shiny tiled floors and bathroom tiles, just every inch perfect and clean. Bed was really comfortable, lots of room for me to put my things",Was the room described as perfect in the content?,How satisfied was the guest with the comfort of the bed?,"[SUB_Q]Was the room described as ""perfect"" in the content?[/SUB_Q]  
[SUB_Q]How satisfied was the guest with the comfort of the bed?[/SUB_Q]"
22,"although might have needed another set of drawers if there were two of us. Fridge could have been put on beforehand, the shower took a while to get hot,",Did the guest face a problem with the shower taking too long?,Did the guest find the shower experience problematic despite attempts to fix it?,"[SUB_Q]Did the guest face a problem with the shower taking too long?[/SUB_Q]  
[SUB_Q]Did the guest find the shower experience problematic despite attempts to fix it?[/SUB_Q]"
22,"Ordered pizza one night and was not great, too stodgy",Did ordering pizza one night result in a bad experience due to being too stodgy?,"Was the overall impact of having ordered pizza one night unsatisfactory, considering that the pizza was not great and too stodgy?","To answer the question “What is the sentiment of this Selected Content?”, we need to know:

[SUB_Q]Did ordering pizza one night result in a bad experience due to being too stodgy?[/SUB_Q]

[SUB_Q]Was the overall impact of having ordered pizza one night unsatisfactory, considering that the pizza was not great and too stodgy?[/SUB_Q]"
22,The restaurant area is nice,Is there any problem with the restaurant area mentioned in the review?,How does this fact affect the overall sentiment of the review?,"[SUB_Q]Is there any problem with the restaurant area mentioned in the review?[/SUB_Q]  
[SUB_Q]How does this fact affect the overall sentiment of the review?[/SUB_Q]"
22,the staff very accomodating.,Did the staff accommodate guests well?,"Because the staff was very accommodating, the overall experience was positive.","[SUB_Q]Did the staff accommodate guests well?[/SUB_Q]

[SUB_Q]Because the staff was very accommodating, the overall experience was positive.[/SUB_Q]"
23,the beds were very comfortable,Did the guests find the beds very comfortable during their stay?,Was there a resolution or impact on how well the beds were found by the guest?,"To answer the question “What is the sentiment of this Selected Content?”, we need to know:

[SUB_Q]Did the guests find the beds very comfortable during their stay?[/SUB_Q]

[SUB_Q]Was there a resolution or impact on how well the beds were found by the guest?[/SUB_Q]

This breakdown ensures that each sub-question is clear and follows the specified rules."
24,I loved the mattress!!!,Did the guest find the mattress in excellent condition?,Was the guest impressed by the mattresss comfort and value?,"[SUB_Q]Did the guest find the mattress in excellent condition?[/SUB_Q]  
[SUB_Q]Was the guest impressed by the mattress's comfort and value?[/SUB_Q]"
25,Clean and quiet,Was the hotel clean and quiet?,Did the guest find the stay comfortable?,"[SUB_Q]Was the hotel clean and quiet?[/SUB_Q]  
[SUB_Q]Did the guest find the stay comfortable?[/SUB_Q]

The content presents a positive aspect, but it doesn't fully address tangible improvements or services that enhance comfort."
26,The hotel is 5 minutes from the beach and the location is also near the lake.,Is the hotel located near a beach or near a lake?,Does the location provide a convenient experience for the guest?,"To determine the sentiment of this selected content regarding its impact on the guest's experience:
[SUB_Q]Is the hotel located near a beach or near a lake?[/SUB_Q]  
[SUB_Q]Does the location provide a convenient experience for the guest?[/SUB_Q]"
26,"The rooms are a good size and are laid out very well with a good size bathroom
  The room also has a great sized balcony to take a tea/coffee and 
  chill",What are the improvements made to room sizes and layout?,Has these improvements had a positive effect on the guest experience?,"[SUB_Q]What are the improvements made to room sizes and layout?[/SUB_Q]  
[SUB_Q]Has these improvements had a positive effect on the guest experience?[/SUB_Q]"
26,There is a great restaurant inside where the food is good and not to pricey.,Is there a great restaurant inside where the food is good?,How did the guest feel about their dining experience at this restaurant?,"[SUB_Q]Is there a great restaurant inside where the food is good?[/SUB_Q]

[SUB_Q]How did the guest feel about their dining experience at this restaurant?[/SUB_Q]"
26,The staff are super wonderful really friendly all of them the receptionist Maria is so nice she's amazing,Was the hotel staff super wonderful and really friendly?,How did the staffs friendliness impact the overall sentiment of the review?,"[SUB_Q]Was the hotel staff super wonderful and really friendly?[/SUB_Q]  
[SUB_Q]How did the staff's friendliness impact the overall sentiment of the review?[/SUB_Q]"
27,"so comfortable, clean",Is the hotel room described as comfortable and clean?,Was the rooms comfort and cleanliness contributing to a positive overall experience for the guest?,"[SUB_Q]Is the hotel room described as comfortable and clean?[/SUB_Q]  
[SUB_Q]Was the room's comfort and cleanliness contributing to a positive overall experience for the guest?[/SUB_Q]"
27,friendly staff,Did the staff at the hotel display a friendly and welcoming tone?,Was there an overall positive impression or impact on the guests experience due to their friendly nature?,"[SUB_Q]Did the staff at the hotel display a friendly and welcoming tone?[/SUB_Q]  
[SUB_Q]Was there an overall positive impression or impact on the guest's experience due to their friendly nature?[/SUB_Q]"
27,perfect for overnight stay before flying from Larnaca Airport.,Did the hotel provide a perfect fit for an overnight stay before flying from Larnaca Airport?,How did this fit affect the guests overall experience?,"[SUB_Q]Did the hotel provide a perfect fit for an overnight stay before flying from Larnaca Airport?[/SUB_Q]  
[SUB_Q]How did this fit affect the guest's overall experience?[/SUB_Q]"
28,Staff is very polite and caring.,,,
28,Surrounding buildings are under construction and poorly lit.,Fact: Are the surrounding buildings poorly lit?,Outcome: What security measures were present?,"[SUB_Q]Fact: Are the surrounding buildings poorly lit?[/SUB_Q]  
[SUB_Q]Outcome: What security measures were present?[/SUB_Q]"
30,Staff were lovely. Service was great.,Did the staff at the hotel display a particularly nice or excellent reputation?,Was there a positive outcome regarding service quality during your stay?,"To answer the question “What is the sentiment of this Selected Content?”, we need to know:  
[SUB_Q]Did the staff at the hotel display a particularly nice or excellent reputation?[/SUB_Q]  
[SUB_Q]Was there a positive outcome regarding service quality during your stay?[/SUB_Q]"
30,The room was spotless.,Did the guest find out that the room was spotless?,Was there any mention of cleanliness in other parts of the room?,"[SUB_Q]Did the guest find out that the room was spotless?[/SUB_Q]  
[SUB_Q]Was there any mention of cleanliness in other parts of the room?[/SUB_Q]"
30,Great location for restaurants. Great location for a short drive to the airport.,Did the hotel location effectively accommodate guests at both restaurants and near the airport?,Is there a perceived positive impact on guest experience from being near restaurants and a short drive to the airport?,"[SUB_Q]Did the hotel location effectively accommodate guests at both restaurants and near the airport?[/SUB_Q]  
[SUB_Q]Is there a perceived positive impact on guest experience from being near restaurants and a short drive to the airport?[/SUB_Q]"
31,"Clean, comfortable,",Did the guest experience cleanliness and comfort?,Is the hotel room described as clean and comfortable?,"[SUB_Q]Did the guest experience cleanliness and comfort?[/SUB_Q]  
[SUB_Q]Is the hotel room described as clean and comfortable?[/SUB_Q]"
31,friendly staff.,Did the guest feel comfortable with the staffs friendliness during their stay at the hotel?,Was there any issue or problem encountered due to the friendly staff that affected the guests experience?,"To answer the question “What is the sentiment of this Selected Content?”, we need to know:

[SUB_Q]Did the guest feel comfortable with the staff's friendliness during their stay at the hotel?[/SUB_Q]  
[SUB_Q]Was there any issue or problem encountered due to the friendly staff that affected the guest's experience?[/SUB_Q]"
31,Great restaurant beneath the hotel - food excellent & reasonably priced.,Did the guest encounter a good restaurant below the hotel?,Does this restaurant have excellent food?,"[SUB_Q]Did the guest encounter a good restaurant below the hotel?[/SUB_Q]

[SUB_Q]Does this restaurant have excellent food?[/SUB_Q]"
31,Very close to Mackenzy beach & Larnaca airport.,Is the hotel located very close to Mackenzy beach?,Is the hotel located near Larnaca airport?,"To answer the question “What is the sentiment of this Selected Content?” we need to know:

[SUB_Q]Is the hotel located very close to Mackenzy beach?[/SUB_Q]

[SUB_Q]Is the hotel located near Larnaca airport?[/SUB_Q]"
32,The bed was great. Rooms clean.,Did the bed get great? Was the room clean?Does this impression indicate a positive or negative sentiment?,Did the bed get great?,[SUB_Q]Did the bed get great? Was the room clean?[SUB_Q]Does this impression indicate a positive or negative sentiment?[/SUB_Q]
32,Staff were so kind.,Did the staff face any issues during the stay that impacted their behavior?,How did these issues affect the guests experience and sentiment towards the staff?,"To answer the question “What is the sentiment of this Selected Content?”, we need to know:

[SUB_Q]Did the staff face any issues during the stay that impacted their behavior?[/SUB_Q]

[SUB_Q]How did these issues affect the guest's experience and sentiment towards the staff? [/SUB_Q]"
34,welcoming,Is there any information about the guests experience being positive or negative?,"Without knowing if it is welcoming or not, can we determine the sentiment of this Selected Content?","[SUB_Q]Is there any information about the guest's experience being positive or negative?[/SUB_Q]

[SUB_Q]Without knowing if it is welcoming or not, can we determine the sentiment of this Selected Content?[/SUB_Q]"
34,value for money,Did the hotel offer a good deal or competition?,How did that deal affect the guests experience?,"[SUB_Q]Did the hotel offer a good deal or competition?[/SUB_Q]
[SUB_Q]How did that deal affect the guest's experience?[/SUB_Q]"
34,more hooks on walls for towels etc.,Did the guest find more hooks on walls for towels etc.?,Was there a positive outcome related to having more towels available with hooks during their stay?,"To answer the question “What is the sentiment of this Selected Content?”, we need to know:

1. Did the guest find more hooks on walls for towels etc.?  
2. Was there a positive outcome related to having more towels available with hooks during their stay?  

Sub_Q1 (Fact): Did the guest find more hooks on walls for towels etc.?  
Sub_Q2 (Outcome): Was there a positive outcome related to having more towels available with hooks during their stay?"
35,"There was a problem with heating water at that time and we can understand, but eventually we couldn't manage to have a proper shower with hot water.",Did the heating water problem in the shower cause guests to be unsatisfied or angry?,Was there a noticeable decrease in comfort or satisfaction due to the shower issues?,"To answer the question ""What is the sentiment of this Selected Content?"", we need to know:  
[SUB_Q]Did the heating water problem in the shower cause guests to be unsatisfied or angry?[/SUB_Q]  
[SUB_Q]Was there a noticeable decrease in comfort or satisfaction due to the shower issues?[/SUB_Q]

Q: [SUB_Q]Did the heating water problem in the shower cause guests to be unsatisfied or angry?[/SUB_Q]  
Q: [SUB_Q]Was there a noticeable decrease in comfort or satisfaction due to the shower issues?[/SUB_Q]"
36,"we were surprised at the location in a small side street,",Was the guest surprised at the location being a small side street?,How did this surprise affect their stay at the hotel?,"[SUB_Q]Was the guest surprised at the location being a small side street?[/SUB_Q]  
[SUB_Q]How did this surprise affect their stay at the hotel?[/SUB_Q]"
36,but it was only a 10-minute walk to the sea front.,Did the guest find it only a 10-minute walk to the sea front?,How does this duration of proximity affect the guests experience?,"[SUB_Q]Did the guest find it only a 10-minute walk to the sea front?[/SUB_Q]  
[SUB_Q]How does this duration of proximity affect the guest's experience?[/SUB_Q]"
36,The receptionist on check in was very good and explained the information very clearly to us.,Did the receptionist on check in demonstrate a positive experience?,Did the receptionists clear communication during check-in positively impact their overall experience?,"To answer the question ""What is the sentiment of this Selected Content?"", we need to know:
  
  [SUB_Q]Did the receptionist on check in demonstrate a positive experience?[/SUB_Q] 
  [SUB_Q]Did the receptionist's clear communication during check-in positively impact their overall experience?[/SUB_Q]

This decomposition ensures that each sub-question is clearly defined and logically follows from the previous one, adhering to the hierarchical structure required."
36,The room was smaller than I expected but as we were only there a few days it was acceptable. I am very fussy about beds and pillows,Sub-Q1 (Fact): What was the guests expectation regarding the room size?,Did they anticipate being in a larger room?,"Q: Content: ""The room was smaller than I expected but as we were only there a few days it was acceptable. I am very fussy about beds and pillows."" What is the sentiment of this Selected Content between Positive or Negative?
Sub-Q1 (Fact): What was the guest's expectation regarding the room size? Did they anticipate being in a larger room?
Sub-Q2 (Outcome): How did their fussy feelings about beds and pillows affect their overall experience?

This breakdown ensures clarity on both fact and outcome while adhering to the rules."
36,"I had no problem as they were very clean, and the bed was really comfortable.",Did the guest experience an incident where they were very clean?,Was there a resolution where the bed was really comfortable?,"[SUB_Q]Did the guest experience an incident where they were very clean?[/SUB_Q]

[SUB_Q]Was there a resolution where the bed was really comfortable?[/SUB_Q]"
36,"The chef was very polite, and his food was excellent, he had passion and it showed in his presentation.",Did the guest interact with the chef during your stay?,Was the guest satisfied with the chefs performance in their experience here?,"[SUB_Q]Did the guest interact with the chef during your stay?[/SUB_Q]  
[SUB_Q]Was the guest satisfied with the chef's performance in their experience here?[/SUB_Q]"
36,We may have missed it but there was no opening and closing times of the bar on display.,Did the hotel staff miss an important event because there were no opening or closing times for the bar?,How did missing this information affect the overall sentiment of the review?,"[SUB_Q]Did the hotel staff miss an important event because there were no opening or closing times for the bar?[/SUB_Q]  
[SUB_Q]How did missing this information affect the overall sentiment of the review?[/SUB_Q]"
38,great rooms - nice and cool,What are the room conditions described in this review?,How did the guest feel about their experience at the hotel based on this information?,"[SUB_Q]What are the room conditions described in this review?[/SUB_Q]  
[SUB_Q]How did the guest feel about their experience at the hotel based on this information?[/SUB_Q]"
39,It was really clean and spacious,,,
40,"Nice location, not far from Airport and Mackenzie beach.",Did the guest find the hotel located near an airport?,Was the locations proximity to an airport providing a convenient experience for the guest?,"[SUB_Q]Did the guest find the hotel located near an airport?[/SUB_Q]  
[SUB_Q]Was the location's proximity to an airport providing a convenient experience for the guest?[/SUB_Q]"
40,"My only real observation was that there was no net curtain or blind so one needed to ensure that the curtain was closed,",Did the guest observe a lack of net curtain or blind?,How did this lack of setup affect the guest experience?,"[SUB_Q]Did the guest observe a lack of net curtain or blind?[/SUB_Q]  
[SUB_Q]How did this lack of setup affect the guest experience?[/SUB_Q]"
41,Super friendly and helpful staff.,Was the hotel staff described as super friendly and helpful in the review?,Does the positive feedback on staff friendliness and helpfulness contribute positively to overall guest satisfaction?,"To answer the question “What is the sentiment of this Selected Content?”, we need to know:  
[SUB_Q]Was the hotel staff described as super friendly and helpful in the review?[/SUB_Q]  
[SUB_Q]Does the positive feedback on staff friendliness and helpfulness contribute positively to overall guest satisfaction?[/SUB_Q]"
41,"A good location 5 lins away from the airport by car, 5 mins walk to the beach.",Did the guest encounter a specific distance from the airport?,Was the location near the beach beneficial for a stay?,"[SUB_Q]Did the guest encounter a specific distance from the airport?[/SUB_Q]  
[SUB_Q]Was the location near the beach beneficial for a stay?[/SUB_Q]"
41,"It is typical of all restaurants in the area - the kitchen shuts at 22:30 or so, and there is no food to be had afterwards.",Did the guest encounter a problem with the kitchen?,Was there any issue with the lack of available food after the kitchen shuts down?,"[SUB_Q]Did the guest encounter a problem with the kitchen?[/SUB_Q]

[SUB_Q]Was there any issue with the lack of available food after the kitchen shuts down?[/SUB_Q]"
41,"Clean modern rooms,",Did the hotel ensure that the rooms were clean?,Was the cleanliness of the rooms a positive outcome for the guest experience?,"[SUB_Q]Did the hotel ensure that the rooms were clean?[/SUB_Q]  
[SUB_Q]Was the cleanliness of the rooms a positive outcome for the guest experience?[/SUB_Q]"
41,very nice breakfast.,Did the guest find the breakfast extremely nice?,Was the breakfast considered very nice for a hotel stay?,"[SUB_Q]Did the guest find the breakfast extremely nice?[/SUB_Q]  
[SUB_Q]Was the breakfast considered very nice for a hotel stay?[/SUB_Q]"
42,clean,Was the room clean before the guest arrived?,Did the guests feel positively or negatively about the cleanliness they experienced?,"[SUB_Q]Was the room clean before the guest arrived?[/SUB_Q]

[SUB_Q]Did the guests feel positively or negatively about the cleanliness they experienced?[/SUB_Q]"
