ID,Topic,Selected Content
17,Room,Our room had a balcony with great view of the sea and surrounding area.
19,Location,Close to airport
20,Off,location
20,Room,clean
20,Staff,friendly stuff
22,Room,"Room was perfect, looked new, clean shiny tiled floors and bathroom tiles, just every inch perfect and clean. Bed was really comfortable, lots of room for me to put my things"
22,Room,"although might have needed another set of drawers if there were two of us. Fridge could have been put on beforehand, the shower took a while to get hot,"
22,Food,"Ordered pizza one night and was not great, too stodgy"
22,Food,The restaurant area is nice
22,Staff,the staff very accomodating.
22,Off,"so it was cold. had to have a cold shower one morning as i needed to get out early. When you left it running for around 5 mins it got warm and was a good shower, but I'm sure other food is better."
23,Room,the beds were very comfortable
24,Room,I loved the mattress!!!
25,Room,Clean and quiet
26,Location,The hotel is 5 minutes from the beach and the location is also near the lake.
26,Room,"The rooms are a good size and are laid out very well with a good size bathroom
  The room also has a great sized balcony to take a tea/coffee and 
  chill"
26,Food,There is a great restaurant inside where the food is good and not to pricey.
26,Staff,The staff are super wonderful really friendly all of them the receptionist Maria is so nice she's amazing
26,Off,Keep up the great work. Leaving..in fact just re booked the hotel for 2 weeks time 😁
27,Room,"so comfortable, clean"
27,Staff,friendly staff
27,Location,perfect for overnight stay before flying from Larnaca Airport.
27,Off,nothing.
28,Staff,Staff is very polite and caring.
28,Location,Surrounding buildings are under construction and poorly lit.
28,Off,Thank you
30,Staff,Staff were lovely. Service was great.
30,Room,The room was spotless.
30,Location,Great location for restaurants. Great location for a short drive to the airport.
30,Off,Not applicable
31,Room,"Clean, comfortable,"
31,Staff,friendly staff.
31,Food,Great restaurant beneath the hotel - food excellent & reasonably priced.
31,Location,Very close to Mackenzy beach & Larnaca airport.
31,Off,"We would definitely stay there again, All good"
32,Room,The bed was great. Rooms clean.
32,Staff,Staff were so kind.
32,Off,Nothing.
34,Staff,welcoming
34,Price,value for money
34,Room,more hooks on walls for towels etc.
34,Off,location
35,Room,"There was a problem with heating water at that time and we can understand, but eventually we couldn't manage to have a proper shower with hot water."
36,Location,"we were surprised at the location in a small side street,"
36,Location,but it was only a 10-minute walk to the sea front.
36,Staff,The receptionist on check in was very good and explained the information very clearly to us.
36,Room,The room was smaller than I expected but as we were only there a few days it was acceptable. I am very fussy about beds and pillows
36,Room,"I had no problem as they were very clean, and the bed was really comfortable."
36,Food,"The chef was very polite, and his food was excellent, he had passion and it showed in his presentation."
36,Food,We may have missed it but there was no opening and closing times of the bar on display.
36,Off,"When we arrived,"
38,Room,great rooms - nice and cool
39,Room,It was really clean and spacious
40,Location,"Nice location, not far from Airport and Mackenzie beach."
40,Room,"My only real observation was that there was no net curtain or blind so one needed to ensure that the curtain was closed,"
40,Off,especially when going for a shower as the room is opposite some apartments that have a clear view into the room!
41,Staff,Super friendly and helpful staff.
41,Location,"A good location 5 lins away from the airport by car, 5 mins walk to the beach."
41,Location,"It is typical of all restaurants in the area - the kitchen shuts at 22:30 or so, and there is no food to be had afterwards."
41,Room,"Clean modern rooms,"
41,Food,very nice breakfast.
41,Off,I would just flag that ahead of time in the welcome email to those arriving from the UK (most early afternoon flights land after 23:00) and have something like nuts / chips available to buy on arrival.
42,Room,clean
42,Staff,"hospitality,"
43,Room,clean spacious practical
45,Room,"Recently updated, everything was me and clean."
45,Food,"Restaurant was a surprise hit: good food, very reasonably priced, so an easy choice to eat at the hotel when we wouldn't usually."
45,Location,The beach is about 5 minutes walk away.
45,Location,There is a bit of plane noise in the afternoon and evening because it is right near the takeoff end of the runway
45,Off,"but next to no departures in the morning, so not a problem"
46,Price,Great value for money
47,Staff,very helpful staff who organised a taxi to collect us in the morning.
47,Price,Good value for money.
48,Room,Clean and comfortable rooms
48,Staff,lovely owner
49,Location,Great location close to the airport and a short walk to the sea.
49,Price,Great value for money.
49,Room,The 2 rooms were big enough for a family of 5.
50,Location,Great little hotel close to airport
50,Room,Not very Soundproof
52,Off,Everything was good. Nothing
53,Facility,"nice, renovated hotel"
53,Room,comfortable bed
53,Location,"close to the airport and Mackenzie Beach,"
53,Food,"delicious breakfasts in the hotel restaurant,"
54,Room,Very nice and clean room.
55,Location,Good for airport transfers
55,Room,A lot of mosquitos
56,Location,"Perfect place to stay for early morning / late night flights as it’s situated within 5 minutes from the airport. given that a lot of guests book here for its prime location near the airport,"
56,Room,beds are extremely comfortable
56,Staff,amazing hospitality from the staff.
56,Food,it would’ve been great if breakfast started at 7 rather than 8.
56,Off,"but that’s just a suggestion, everything was perfect for one nights stay."
57,Room,"Very clean, very comfortable room."
57,Staff,Staff was extremely helpful. They ordered a taxi for us to get to the airport very early in the morning.
57,Location,"We were able to enjoy a very nice, short walk to the beach where there were many restaurants available to choose from."
57,Off,We will definitely stay here again when we come back to Larnaca.
58,Location,"Close to the airport,"
58,Staff,the staff were nice and helpful.
58,Room,The room wasn't soundproof so you can hear the planes.
58,Location,The room wasn't soundproof so you can hear the planes.
59,Location,Close to airport so very convenient for overnight stay.
59,Check-in,Also very easy to check-in if you arrive late at night
60,Check-in,clear instructions left access to our room made easy
60,Off,Arrived in the early hours
61,Food,Excellent range of food offered
61,Staff,good service.
61,Off,no issues for overnight stay
62,Location,"Comfortable location near the airport, and near the beach."
62,Staff,Caring and helpful host.
62,Food,Restaurant on site
62,Room,"Comfortable beds, the best linen and duvets I had
  in my entire 10 day trip.
  In room mini bar+ tea/ coffee. Clean modern bathroom.
  Good AC."
62,Room,"Our son had a folding bed which could have been better, especially considering how comfortable the regular beds were."
62,Off,We liked La Veranda
63,Facility,"It’s been renovated to a exceptionally high standard , it really is well up to 4* standard."
63,Price,Exceptional value .
63,Off,I cannot find a single negative point…which is unusual. Having spent 45 years travelling as part of work I am perhaps over critical.
64,Location,"We were looking for the hotel close to the airport, and it was a perfect match. The hotel is located in a close proximity to the airport (5 min by car or 10 min by bus)."
64,Food,"Even though the kitchen was closing, they made us a pizza which was really nice."
64,Room,"The room was new and clean,"
64,Staff,the staff reached out in advance and provided us with the detailed instructions of how to get to the room when reception closes.
64,Location,"you can hear all the noise from the planes. If you are looking for a quiet stay, you should be aware that the hotel is really close to the airport,"
64,Off,"We arrived late and were super hungry, so we decided to eat in the place at the ground floor."
67,Staff,friendly staff
67,Off,nothing so far
68,Staff,Friendly
68,Price,"good value,"
68,Room,clean
70,Facility,Peaceful and clean
70,Room,Peaceful and clean
70,Staff,friendly helpful staff
70,Off,Nothing
71,Check-in,Got very clear instructions how to get access to our room.
71,Staff,The staff of the hotel is extremely friendly and nice.
71,Location,"The bus stop with direct access to the airport is a few steps from the accommodation. the airport can be reached in a few minutes. at the same time, Mackenzie beach is also easily accessible on foot."
71,Off,"We arrived after midnight. but the accommodation cannot do anything about this. overall, we are extremely satisfied."
71,Location,"there is no shop or pharmacy in the area,"
72,Check-in,I received very clear instructions how to enter the hotel and access my room.
72,Off,I arrived late.
73,Staff,Lovely staff doing best to assist always.
73,Room,wonderful room.
74,Location,"The hotel is based on a quiet place near to the airport, beach and the Salt Lake in the city. The location is excellent, as there are lots of parking places around, as well."
74,Room,"Regarding the rooms - very clean and cozy ones, with comfortable beds."
74,Food,"Furthermore, there is a restaurant in the hotel with delicious food."
74,Staff,The staff of the hotel is extremely friendly and nice.
75,Room,Disappointed we didn't have a balcony
76,Facility,Feels new and clean
76,Room,Feels new and clean
76,Location,perfect location nearby the beach
77,Staff,The staff is very VERY helpful and eager to assist
77,Off,All went amazing! we’d love to stay longer
78,Staff,Nice friendly staff.
78,Room,"clean, nice room, big bathroom"
78,Off,nothing
79,Room,New clean setup
79,Staff,friendly helpful staff
79,Off,All good
80,Facility,It is a new hotel. Everything was clean.
80,Food,We had dinner. It was delicious and inexpensive.
80,Location,Mc Kenzie Beach within walking distance.
81,Location,Close to the airport
81,Room,clean spacious rooms.
81,Facility,No 24 hour reception so not easy to access entry at odd hours.
82,Staff,Amazing staff
82,Room,"super clean 
  modern"
82,Location,great location
83,Staff,Staff was very nice and friendly.
83,Room,Room was clean and comfortable.
83,Location,The location was a little bit far from the centre.
86,Facility,Lovely little hotel with very friendly staff.
86,Staff,Lovely little hotel with very friendly staff.
86,Food,Breakfast was excellent.
87,Staff,Super friendly staff
87,Food,nice restaurant.
88,Facility,Clean comfortable little hotel.
88,Staff,Lovely friendly staff.
88,Location,Good location and easily reached from the airport.
88,Off,Nothing. It was perfect for my stay.
89,Check-in,instructions for access were sent in advance and absolutely perfect.
89,Room,"In a clean, comfortable bed within minutes of arrival."
89,Off,"We had a horrible 4am arrival,"
90,Off,"position, staff"
90,Room,very clean
90,Facility,parking not always easy
91,Location,Close to Larnaca airport.
91,Room,Very nice rooms that were very clean.
91,Staff,"helpful, friendly staff."
92,Check-in,"we did late night check in, that was super easy and comfortable"
92,Room,it was a bit badly soundproofed
94,Off,The best hotel at Mackenzie!
94,Staff,"Amazing staff,"
94,Facility,modern facility
94,Food,very tasty food with a super service at the restaurant by the hotel.
95,Room,clean and quiet
95,Location,perfect location for the airport
96,Staff,"the staff is very nice,"
96,Room,the room is very comfortable.
96,Room,some of the towels were dirty
97,Food,The food we had was excellent
97,Staff,service was excellent
97,Off,we will go back.
98,Off,"We used the hotel only for one night, which I wished to visit but didn't have time."
98,Location,"because it is close to the airport. but i must admit the location offers some nice places for at least a two-nights stay for sure. The nearby beach (mackenzie) is nice, long, with some cool and fancy bars. there is also the salt lake"
98,Facility,"The Hotel itself was very nice, spacious, clean and modern."
98,Room,Only thing I didn't like were the blankets - too thick for this incredible hot hot hot weather.
99,Room,very clean
99,Staff,the staff was wonderful
100,Room,"really clean,"
100,Staff,"exceptional staff, incredibly polite"
100,Off,highly recommend
101,Staff,The staff were very hospitable and very helpful.
101,Room,The cupboards/wardrobes need doors and they should be drawers in the room to keep the rooms tidy.
102,Room,Nice modern and clean rooms.
102,Location,"The location is excellent close to Airport, Makenzie beach and touristic area, and bus stop going from Airport to town is few meters away."
102,Staff,Very friendly staff.
102,Off,Highly recommended.
103,Room,The room was recently refurbished and very spatious. Nice view of the salt lake by the terrace. Sinks and toilette separated by a door inside the bathroom.
103,Room,No soap or shampoo in the shower. There was hand soap instead.
105,Off,We only stayed for a night but we were super happy with our stay at the La Veranda Hotel. I liked everything about the property
105,Staff,The staff was super nice
105,Room,the rooms were very clean and the bathroom was spacious.
106,Off,We used the accommodation for one night before departure.
106,Location,The advantage is the proximity to the airport
106,Room,very comfortable beds.
106,Staff,The hotel staff should learn better English
106,Off,"confusing the term ""fridge"" and ""freezer"" can be fatal for a person with diabetes. The team froze our insulin, meaning it was unusable. Luckily we flew home the next day. If it happened before the holidays, we've got the entertainment covered."
107,Room,Rooms large and newly redecorated in a contemporary style. Bed very comfortable
107,Location,Very convenient for the airport
107,Food,Breakfast was excellent.
107,Off,Nothing
108,Off,everything nothing
109,Facility,"Clean hotel,"
109,Room,lovely rooms with comfortable beds.
109,Location,Great location for overnight stay for late flights.
109,Staff,Very helpful staff
110,Off,I went there while on transit in Larnaca
110,Facility,"the building is completely refurbished, it is confortable"
110,Check-in,the self check in was very easy.
112,Facility,recently refurbished
112,Food,"very nice restaurant, good food and service"
113,Staff,Staff excellent and accommodating.
113,Room,Very nice clean rooms
114,Off,"I really enjoyed this place, Perfect for our short stay, Very impressed however anything longer than a 2 night stay and you may get a little bored.
  Highly recommended, I have no complaints."
114,Facility,It didn't have a pool
114,Facility,and the hotel was immaculately clean.
114,Location,"but it was 10 minutes from the airport by taxi, 15 by shuttle bus. There are also connecting buses from ayia napa to this hotel via Larnaca which we used for our early morning start from Larnaca Airport. McKenzie beach is close by, and the food restaurants off the opposite beach were only a ten minute walk."
114,Room,Air con and fridge in rooms with a bottle of water provided.
114,Staff,"I was particularly impressed when the staff emailed me via booking.com and after asking me what time I was arriving (the hotel is not manned 24/7 but arrangements are made to collect your room key in the hotel if you are arriving outside of normal hours), told me which bus routes I needed to take."
115,Staff,"Stuff in the hotel were very helpful and nice,"
115,Off,"my stay in la veranda was perfect,"
115,Location,"mackenzie beach is few minutes, airport near, best location in larnaca."
117,Location,"The location next to the airport is great for flights very early in the morning, because it only takes you 5 minutes to get to the airport. 
  The beach is a 10 minutes walk away"
118,Location,location near the airport and beach 10/10.
118,Staff,front desk are absolutely perfect 10/10
118,Food,hotel restaurant delicious! 10/10
118,Room,the room perfect!
118,Off,"nothing to say,"
120,Staff,Helpful staff
120,Location,close to airport
120,Room,The room was small but adequate
121,Off,#NAME?
123,Facility,Nice and simple hotel.
123,Location,Very convenient location close to the airport.
123,Staff,The front desk was very friendly and helpful.
123,Location,The area was a little noisy when we stayed there.
124,Staff,Very friendly staff
125,Off,The best 3 stars hotel I have been ever!
125,Room,"Clean as hospital, super comfy,"
125,Location,"close to one of the best beaches of Larnaca region, perfectly connect by public transport with Larnaca city centre,"
125,Price,all that with quite reasonable price.
125,Taxi-issue,"Taxi drivers who cooperate with hotel, both times, from airport and back, charged 2-3 EUR above the price agreed with the hotel (20 EUR). To clarify, it is not about the money, I would certainly give that money as a tip, but feeling that someone is cheating you and stilling money from you is really awkward and ugly, especially when you are alone with small child in the middle of the night and have no alternative way of transport."
126,Food,The food was very tasty
126,Staff,"staff very helpful and friendly,"
126,Room,"very nice bathroom, and the room was well equipped and also smelled very nice."
126,Location,It was a bit loud outside
126,Off,"(I didn't have breakfast but ate dinner at the restaurant), but that was just normal for summertime I guess."
127,Room,very clean and modern
128,Room,"very clean and comfortable,"
128,Location,close to the airport
129,Staff,The guy at the reception was very kind and helpful!
129,Room,The room and bathroom were of very good size and clean! Our bed was so comfortable!
129,Location,We wanted something close to Makenzie as we had plans for the night and this place was just perfect!
130,Facility,that your hotel allowed to stay with animals
131,Room,The room was very clean.
131,Staff,The staff was very nice.
131,Location,"The location of the hotel was a bit far from the city centre,"
131,Off,"Using the air conditioner was great after a hot day outside. but you can take the 425 bus, which arrives fairly often at the station near the hotel."
132,Food,The breakfast prepared by Richard was delicious and freshly prepared. As well there are many choices from Cyprus to English breakfast.
132,Staff,"Very friendly and the most helpful host. Impeccable service,"
132,Room,"very comfortable bed,"
132,Off,pleasant and relaxing staying in Larnaca.
133,Off,We took the suit has we were 2 adults & 3 kids. if the hotel had swimming pool it would be perfect
133,Room,the room was clean & the bed were comfortable
133,Staff,the lady in reception (Maria) was VERY helpful
133,Price,good value for money
133,Facility,no swimming pool
134,Facility,"La veranda was lovely and clean,"
134,Room,"La veranda was lovely and clean,"
134,Staff,great friendly staff
134,Food,great chef.
134,Location,Brilliant location for beach and bars.
136,Price,I did not expect such a beautiful hotel for such a cheap price
136,Facility,Disgusting on the outside
136,Facility,but clean and beautiful on the inside
137,Room,Room was clean and the bed was comfortable
137,Staff,Friendly staff
137,Location,great location
137,Room,The smell in the bathroom
138,Off,"Great localization, I recommend this place a lot 
  12 stars :)"
138,Staff,"very helpful and kind personel,"
138,Room,"very clean room and bathroom,"
139,Location,the proximity to the airport
139,Food,nice restaurant at the hotel with a external balcony
139,Facility,slow elevators
140,Room,"Very clean, comfy bed,"
140,Location,"close to the airport,"
140,Check-in,"easy self check-in,"
140,Food,great breakfast.
144,Room,nice and clean
147,Staff,Amazing staff!
148,Location,Very close of the airport.
148,Room,Very comfortable bed.
148,Off,Nothing
150,Facility,"Everything was new, beautiful and clean."
150,Facility,That there is no kiosk open 24 hours close to the hotel.
151,Off,"Perfect stay. 
  Thank you."
152,Location,"Close to the bars near the sea, close to the airport,"
152,Room,clean rooms.
152,Check-in,We had a late check in and there was no one in the hotel to give us keys and the door was locked.
152,Off,We had to ask the taxi driver to make the call because it was cyprus number.
155,Off,It was exactly what we were looking for.
155,Facility,"A comfortable, nice and clean hotel, The facilities are wonderful, brand new and full equiped."
155,Location,near the airport.
155,Food,We really enjoyed the dinner in the restaurant. Everything was freshmade and prepare by the cheff...
155,Room,nice shower and bed.
155,Price,Excellent value for money
157,Location,"7 minutes walking to the beach,"
157,Room,"modern new rooms, very clean."
159,Room,"Clean rooms,"
159,Staff,very friendly staff
159,Location,and great location as it is close to the airport.
160,Facility,The perfect hotel.
160,Off,I liked everything.
162,Facility,This hotel was amazing.
162,Staff,Exceptional friendly stuff
162,Food,and the breakfast was really delicious.
163,Check-in,Easy late night check in
164,Staff,All the staff were so accommodating and friendly.
164,Facility,"This is a really well run, family establishment"
164,Off,"and couldn't have been more perfect for our stay., Nothing"
165,Room,"Clean, modern,"
165,Staff,friendly staff
166,Room,very clean and homely
166,Off,noting
170,Food,"The food was excellent. Richard, the chef prepared the fish, which was the best that I ever tasted."
170,Off,All in all the stau at the hotel was a wonderful experience!
173,Room,IMMACULATELY CLEAN!!! The bedding and floors were SOO CLEAN. how clean it was and the bed and linens were soo comfy and everything smelled good
173,Staff,The staff so friendly and kind and helpful!!!
174,Off,all good
175,Off,Location
176,Room,The room was spacious enough for two people and it was very clean.
177,Location,It’s close to the beach and the airport.
177,Staff,The staff was nice and helpful. Extremely agile to respond.
177,Off,Nothing to complain.
178,Room,Relaxing and comfortable.
179,Location,"Close to local restaurants and beach.
  Quiet."
179,Room,Very clean.
179,Room,Better TV channel selection would have been good for evening.
180,Room,"Sparkling clean, comfy bed,"
180,Staff,"friendly staff,"
180,Food,delicious breakfast (great freshly made croissants)
180,Room,AC was a bit loud and the people in the next hotel were also loud to be heard from our room
181,Off,Everything was perfect
181,Room,big clean rooms
181,Staff,"warm welcoming, great staff."
182,Location,Closure to the Airport
182,Staff,Hospitality
183,Location,Very close to the beach
183,Facility,"very clean hotel,"
183,Staff,the Team is very friendly
183,Food,and the food is terrific.
186,Staff,Very friendly staff.
187,Off,"Wonderful experience, exceeded our expectations. Would stay again!"
188,Off,lovely
190,Location,Conveniently located.
190,Facility,A very modern and contemporary hotel.
190,Food,Excellent breakfast.
190,Check-in,We had a very late (1am) self check-in self check-in which worked very well.
190,Room,"Our room was rather small and lacked a balcony,"
190,Off,which can make a lot of difference (we had one on our previous stay).
191,Room,Very clean
191,Location,and beside the airport
192,Staff,staff was amazing.
192,Off,location
192,Room,and cleanliness.
193,Room,Room clean and spacious.
193,Staff,Staff very helpful.
193,Location,Excellent location for beach and airport transfer.
196,Room,The mattresses were hard.
196,Booking-issue,When we were booking the room there was a promotion from booking.com which didn't apply and we payed 80 euro more. After that I checked a new dates to book and we had similar number and if we do it it will be the same. This is a big fraud.
197,Location,"Perfect if you want to stay close to the airport.
  Mackenzy beach with restaurants is not that far away."
198,Off,"Everything was exactly as promised,"
198,Room,clean and well organized.
198,Staff,The staff were so friendly that we really felt we are at home with our relatives.
198,Food,"The food at the restaurant was amazing. Richard as the head of Hotel's restaurant, cooks with passion and almost everything from scratch. So fresh and good looking. He makes a simple breakfast amazing and his lunch table, looks like a feast."
199,Room,"it is clean, beautiful"
199,Location,"perfectly located being 5 minute walk from the beach, restaurants and cafés."
199,Staff,kind service with a smile!
200,Room,"Very clean and new,"
200,Food,food was 5 star! The best club sandwich ever!!
201,Off,flexibility
202,Room,"Super clean,"
202,Location,"close to the beach and great restaurants,"
202,Staff,"the staff is exceptionally nice,"
202,Off,next time we will come for more than one night!
203,Room,The room was very clean and ac worked well.
203,Staff,Staff was very friendly.
203,Price,Definitely worth the price.
204,Staff,Staff were very friendly.
204,Location,Great to come to from the airport.
205,Off,Perfect for a great night of sleep before a flight.
206,Price,Good value.
206,Staff,Welcoming owners
206,Location,great location. The beach is less than 5 minutes away.
207,Staff,The WONDERFUL staff at this place makes all the difference.
207,Off,I only stayed for 1 night but would absolutely stay again
208,Location,"quiet area , easy find parking places"
208,Room,"there was hair on the floor from previous visitors, it should be better cleaner ."
209,Room,it was a really nice room
209,Food,we loved the breakfast
209,Staff,very friendly people
209,Room,"it was a bit noisy
  we could here everything"
211,Staff,The stuff was very friendly and helpfull. They exceeded my expectations.
211,Food,Breakfast for charge same as anywhere else was enormous size and very delicious.
211,Location,Liked everythingz close to airport and town
211,Location,half an hour walking to town
212,Staff,Very friendly and helpful staff !
212,Facility,Beautiful hotel
212,Price,and very cheap
212,Off,"10/10 recommended, There was nothing that we didn't like"
214,Staff,The hotell organised a taxi for me
214,Check-in,I arrived late at night. The hotell made sure I could check in.
215,Room,clean and simple
216,Room,"the room is very clean，the bed is comfortable,"
216,Facility,"the facilities are new,"
216,Off,i like this hotel
217,Off,"Very nice, Everything"
219,Room,"very clean room, comfy beds, very nice showers. all freshly renovated."
219,Location,it is sometimes a bit noisy because of the air traffic
219,Off,nothing
220,Check-in,"Excellent communication on late check in process,"
220,Room,"airy and comfortable room, super fast wifi,"
220,Location,"This hotel is only 4km from the airport. If travelling light you can walk it in 40 minutes, saving a rip off cab fare. Just off the b4 highway."
220,Room,TV very light on choice only news channel in English.
220,Off,and a tip.
222,Facility,Its was a nice place clean
222,Room,and the room was nice
223,Staff,The indications at the desk were very helpful
225,Off,"Everything, Nothing"
229,Staff,Exceptionally friendly service of hotel and restarant in same building. Attention and service superb.
230,Off,"location, all was good nothing bad to say"
230,Room,clean
230,Price,and very good value
231,Staff,"very friendly staff,"
231,Room,rooms were clean
231,Location,and ideally situated for the airport
232,Location,"Great location for a late flight,"
232,Room,everything was clean and nice in the room.
232,Check-in,We arrived late and got great instructions on how to get in on our own.
232,Food,"Terrific late breakfast at the café downstairs, the manager catered to our every need"
232,Price,Great for the price and our purpose of a late night flight arrival
232,Off,Nothing.
233,Facility,"Beautiful property, super clean,"
233,Room,rooms where really spacious and fresh and clean.
233,Food,Breakfast was amazing in a beautiful setting and the management are wonderful. a little far from local shop but have everything we need in the cafe.
233,Location,a little far from local shop but have everything we need in the cafe.
233,Off,liked everything
234,Location,"great location for bars, restaurants and beach"
234,Price,at a very good rate for the excellent standard of accommodation
234,Off,nothing all good
235,Location,Great location
235,Staff,"with very welcoming staff,"
235,Room,and very clean
236,Facility,Modern hotel with good facilities.
236,Room,"Although small, the room was comfortable. However, the bathroom was a good size and well appointed."
236,Food,Breakfast as an extra was good.
236,Location,"The hotel is about 100m from the 425 bus route which runs to the airport, about 10 minutes away."
236,Off,"A ticket costs 2 Euros, a far better option than paying 15 Euros for a taxi, Nothing"
237,Room,clean and comfortable
238,Location,close to the airport
238,Room,"stingy smell from the bathroom
  quite small room"
239,Room,Light and airy and clean room.
239,Location,Not far from the sea.
239,Facility,There should be a safety strip on the step to each floor coming up the stairs. You are unaware of it and could possibly trip as I did.
240,Staff,Thank you so much for a very warm welcome and comfortable stay. The hotel manager was reachable at all times due to my flight times and further delays. I couldn't have asked for more informative and reassuring service. 5 star service!
240,Room,Thank you so much for a very warm welcome and comfortable stay. Most importantly it is very clean!
240,Location,The location is very nice of this hotel due to such close proximity to the beach and restaurants.
240,Off,"All in all, awesome!, Nothing"
241,Room,spacious room and minifridge; large bathroom; very clean and comfy bed and lovely little balcony;
241,Staff,staff was very friendly and lend me an adaptor several times.
241,Location,i didnt want to be in the center so for me the location was perfect! walking distance to airport and close to the more luxurious beach strip with delicious restaurants.
241,Room,"for the price that it was, it only had some random unlabeled shampoo dispenser attached to the shower wall. dont know if it was body or hair shampoo but it wasnt very nice at all,"
241,Price,"for the price that it was, it only had some random unlabeled shampoo dispenser attached to the shower wall. dont know if it was body or hair shampoo but it wasnt very nice at all, and seemed a little cheap considering the hotel cost."
242,Room,"Very clean, comfortable and pleasant!"
242,Staff,The staff were very accommodating and kind.
242,Off,"We will definitely come again! highly recommended!, nothing!"
243,Facility,Very modern clean beautifully kept hotel
243,Location,near beaches and restaurants
243,Off,All good
244,Off,nothing
246,Staff,The owners were very friendly and helpful.
246,Facility,"The hotel is small, which we liked,"
246,Location,and is about 10 minutes from the airport.
246,Room,"The rooms were a nice size, very clean, and modern. We had both a family room and a double room, and they were perfect for our quick stay."
246,Location,"The taxi driver had a hard time finding it to drop us off, as it’s amongst several apartment buildings on a small side street. That’s the only negative. The location is a bit hard to find. The taxi drivers GPS had trouble finding it, but eventually we did. It’s amongst several apartment buildings on a small side street."
246,Food,"We also had dinner there, and the food was very good and the chef was very friendly."
246,Off,We’ll stay again if we travel to Larnaca in the future.
247,Room,cleanliness
247,Off,very good location
248,Off,"Absolutely everything was great!!!!!!!!!, I didn't want to leave my room!! Also thank you for taxi, it arrived right in time!"
248,Staff,"Staff super kind, professional, polite and helpful."
248,Room,"Bed was soooooooo comfortable,"
248,Room,"Lack of decent TV channels, only in the evening (past 9 pm) you can actually find something to watch. There are only ~10 channels, half in Greek and half in Russian, and maybe one or two in English (in the evenings)"
249,Off,All
251,Staff,friendly staff
252,Room,Exceptionally clean and brand new.
252,Facility,Exceptionally clean and brand new.
252,Food,Breakfast was freshly made and delicious.
252,Staff,Everyone very friendly
254,Facility,Wonderful modern family run small hotel.
254,Location,It’s very close to the airport which worked for us.
254,Room,"The rooms are spotless, the shower fantastic. The pictures are very true to life."
254,Staff,The family were so helpful.
256,Room,clean and modern
256,Off,nothing
257,Facility,"Very modern, clean hotel"
257,Location,"Great location, quiet"
