ID,Selected Content,Answer
40,"My only real observation was that there was no net curtain or blind so one needed to ensure that the curtain was closed,",Room
41,Super friendly and helpful staff.,Staff
41,"A good location 5 lins away from the airport by car, 5 mins walk to the beach.",Location
41,"It is typical of all restaurants in the area - the kitchen shuts at 22:30 or so, and there is no food to be had afterwards.",Location
41,"Clean modern rooms,",Room
41,very nice breakfast.,Food
42,clean,Room
42,"hospitality,",Staff
43,clean spacious practical,Room
45,"Recently updated, everything was me and clean.",Room
45,"Restaurant was a surprise hit: good food, very reasonably priced, so an easy choice to eat at the hotel when we wouldn't usually.",Food
45,The beach is about 5 minutes walk away.,Location
45,There is a bit of plane noise in the afternoon and evening because it is right near the takeoff end of the runway,Location
46,Great value for money,Price
47,very helpful staff who organised a taxi to collect us in the morning.,Staff
47,Good value for money.,Price
48,Clean and comfortable rooms,Room
48,lovely owner,Staff
49,Great location close to the airport and a short walk to the sea.,Location
49,Great value for money.,Price
49,The 2 rooms were big enough for a family of 5.,Room
50,Great little hotel close to airport,Location
50,Not very Soundproof,Room
53,"nice, renovated hotel",Facility
53,comfortable bed,Room
53,"close to the airport and Mackenzie Beach,",Location
53,"delicious breakfasts in the hotel restaurant,",Food
54,Very nice and clean room.,Room
55,Good for airport transfers,Location
55,A lot of mosquitos,Room
56,"Perfect place to stay for early morning / late night flights as it’s situated within 5 minutes from the airport. given that a lot of guests book here for its prime location near the airport,",Location
56,beds are extremely comfortable,Room
56,amazing hospitality from the staff.,Staff
56,it would’ve been great if breakfast started at 7 rather than 8.,Food
57,"Very clean, very comfortable room.",Room
57,Staff was extremely helpful. They ordered a taxi for us to get to the airport very early in the morning.,Staff
57,"We were able to enjoy a very nice, short walk to the beach where there were many restaurants available to choose from.",Location
58,"Close to the airport,",Location
58,the staff were nice and helpful.,Staff
58,The room wasn't soundproof so you can hear the planes.,Room
58,The room wasn't soundproof so you can hear the planes.,Location
59,Close to airport so very convenient for overnight stay.,Location
59,Also very easy to check-in if you arrive late at night,Check-in
60,clear instructions left access to our room made easy,Check-in
61,Excellent range of food offered,Food
61,good service.,Staff
62,"Comfortable location near the airport, and near the beach.",Location
62,Caring and helpful host.,Staff
62,Restaurant on site,Food
62,"Comfortable beds, the best linen and duvets I had
  in my entire 10 day trip.
  In room mini bar+ tea/ coffee. Clean modern bathroom.
  Good AC.",Room
62,"Our son had a folding bed which could have been better, especially considering how comfortable the regular beds were.",Room
63,"It’s been renovated to a exceptionally high standard , it really is well up to 4* standard.",Facility
63,Exceptional value .,Price
64,"We were looking for the hotel close to the airport, and it was a perfect match. The hotel is located in a close proximity to the airport (5 min by car or 10 min by bus).",Location
64,"Even though the kitchen was closing, they made us a pizza which was really nice.",Food
64,"The room was new and clean,",Room
64,the staff reached out in advance and provided us with the detailed instructions of how to get to the room when reception closes.,Staff
64,"you can hear all the noise from the planes. If you are looking for a quiet stay, you should be aware that the hotel is really close to the airport,",Location
67,friendly staff,Staff
68,Friendly,Staff
68,"good value,",Price
68,clean,Room
70,Peaceful and clean,Facility
70,Peaceful and clean,Room
70,friendly helpful staff,Staff
71,Got very clear instructions how to get access to our room.,Check-in
71,The staff of the hotel is extremely friendly and nice.,Staff
71,"The bus stop with direct access to the airport is a few steps from the accommodation. the airport can be reached in a few minutes. at the same time, Mackenzie beach is also easily accessible on foot.",Location
71,"there is no shop or pharmacy in the area,",Location
72,I received very clear instructions how to enter the hotel and access my room.,Check-in
73,Lovely staff doing best to assist always.,Staff
73,wonderful room.,Room
74,"The hotel is based on a quiet place near to the airport, beach and the Salt Lake in the city. The location is excellent, as there are lots of parking places around, as well.",Location
74,"Regarding the rooms - very clean and cozy ones, with comfortable beds.",Room
74,"Furthermore, there is a restaurant in the hotel with delicious food.",Food
74,The staff of the hotel is extremely friendly and nice.,Staff
75,Disappointed we didn't have a balcony,Room
76,Feels new and clean,Facility
76,Feels new and clean,Room
76,perfect location nearby the beach,Location
77,The staff is very VERY helpful and eager to assist,Staff
78,Nice friendly staff.,Staff
78,"clean, nice room, big bathroom",Room
79,New clean setup,Room
79,friendly helpful staff,Staff
80,It is a new hotel. Everything was clean.,Facility
80,We had dinner. It was delicious and inexpensive.,Food
80,Mc Kenzie Beach within walking distance.,Location
81,Close to the airport,Location
81,clean spacious rooms.,Room
81,No 24 hour reception so not easy to access entry at odd hours.,Facility
82,Amazing staff,Staff
82,"super clean 
  modern",Room
82,great location,Location
83,Staff was very nice and friendly.,Staff
83,Room was clean and comfortable.,Room
83,The location was a little bit far from the centre.,Location
86,Lovely little hotel with very friendly staff.,Facility
86,Lovely little hotel with very friendly staff.,Staff
86,Breakfast was excellent.,Food
87,Super friendly staff,Staff
87,nice restaurant.,Food
88,Clean comfortable little hotel.,Facility
88,Lovely friendly staff.,Staff
88,Good location and easily reached from the airport.,Location
89,instructions for access were sent in advance and absolutely perfect.,Check-in
89,"In a clean, comfortable bed within minutes of arrival.",Room
90,very clean,Room
90,parking not always easy,Facility
91,Close to Larnaca airport.,Location
91,Very nice rooms that were very clean.,Room
91,"helpful, friendly staff.",Staff
92,"we did late night check in, that was super easy and comfortable",Check-in
92,it was a bit badly soundproofed,Room
94,"Amazing staff,",Staff
94,modern facility,Facility
94,very tasty food with a super service at the restaurant by the hotel.,Food
95,clean and quiet,Room
95,perfect location for the airport,Location
96,"the staff is very nice,",Staff
96,the room is very comfortable.,Room
96,some of the towels were dirty,Room
97,The food we had was excellent,Food
97,service was excellent,Staff
98,"because it is close to the airport. but i must admit the location offers some nice places for at least a two-nights stay for sure. The nearby beach (mackenzie) is nice, long, with some cool and fancy bars. there is also the salt lake",Location
98,"The Hotel itself was very nice, spacious, clean and modern.",Facility
98,Only thing I didn't like were the blankets - too thick for this incredible hot hot hot weather.,Room
99,very clean,Room
99,the staff was wonderful,Staff
100,"really clean,",Room
100,"exceptional staff, incredibly polite",Staff
101,The staff were very hospitable and very helpful.,Staff
101,The cupboards/wardrobes need doors and they should be drawers in the room to keep the rooms tidy.,Room
102,Nice modern and clean rooms.,Room
102,"The location is excellent close to Airport, Makenzie beach and touristic area, and bus stop going from Airport to town is few meters away.",Location
102,Very friendly staff.,Staff
103,The room was recently refurbished and very spatious. Nice view of the salt lake by the terrace. Sinks and toilette separated by a door inside the bathroom.,Room
103,No soap or shampoo in the shower. There was hand soap instead.,Room
105,The staff was super nice,Staff
105,the rooms were very clean and the bathroom was spacious.,Room
106,The advantage is the proximity to the airport,Location
106,very comfortable beds.,Room
106,The hotel staff should learn better English,Staff
107,Rooms large and newly redecorated in a contemporary style. Bed very comfortable,Room
107,Very convenient for the airport,Location
107,Breakfast was excellent.,Food
109,"Clean hotel,",Facility
109,lovely rooms with comfortable beds.,Room
109,Great location for overnight stay for late flights.,Location
109,Very helpful staff,Staff
110,"the building is completely refurbished, it is confortable",Facility
110,the self check in was very easy.,Check-in
112,recently refurbished,Facility
112,"very nice restaurant, good food and service",Food
113,Staff excellent and accommodating.,Staff
113,Very nice clean rooms,Room
114,It didn't have a pool,Facility
114,and the hotel was immaculately clean.,Facility
114,"but it was 10 minutes from the airport by taxi, 15 by shuttle bus. There are also connecting buses from ayia napa to this hotel via Larnaca which we used for our early morning start from Larnaca Airport. McKenzie beach is close by, and the food restaurants off the opposite beach were only a ten minute walk.",Location
114,Air con and fridge in rooms with a bottle of water provided.,Room
114,"I was particularly impressed when the staff emailed me via booking.com and after asking me what time I was arriving (the hotel is not manned 24/7 but arrangements are made to collect your room key in the hotel if you are arriving outside of normal hours), told me which bus routes I needed to take.",Staff
115,"Stuff in the hotel were very helpful and nice,",Staff
115,"mackenzie beach is few minutes, airport near, best location in larnaca.",Location
117,"The location next to the airport is great for flights very early in the morning, because it only takes you 5 minutes to get to the airport. 
  The beach is a 10 minutes walk away",Location
118,location near the airport and beach 10/10.,Location
118,front desk are absolutely perfect 10/10,Staff
118,hotel restaurant delicious! 10/10,Food
118,the room perfect!,Room
120,Helpful staff,Staff
120,close to airport,Location
120,The room was small but adequate,Room
123,Nice and simple hotel.,Facility
123,Very convenient location close to the airport.,Location
123,The front desk was very friendly and helpful.,Staff
123,The area was a little noisy when we stayed there.,Location
124,Very friendly staff,Staff
125,"Clean as hospital, super comfy,",Room
125,"close to one of the best beaches of Larnaca region, perfectly connect by public transport with Larnaca city centre,",Location
125,all that with quite reasonable price.,Price
125,"Taxi drivers who cooperate with hotel, both times, from airport and back, charged 2-3 EUR above the price agreed with the hotel (20 EUR). To clarify, it is not about the money, I would certainly give that money as a tip, but feeling that someone is cheating you and stilling money from you is really awkward and ugly, especially when you are alone with small child in the middle of the night and have no alternative way of transport.",Taxi-issue
126,The food was very tasty,Food
126,"staff very helpful and friendly,",Staff
126,"very nice bathroom, and the room was well equipped and also smelled very nice.",Room
126,It was a bit loud outside,Location
127,very clean and modern,Room
128,"very clean and comfortable,",Room
128,close to the airport,Location
129,The guy at the reception was very kind and helpful!,Staff
129,The room and bathroom were of very good size and clean! Our bed was so comfortable!,Room
129,We wanted something close to Makenzie as we had plans for the night and this place was just perfect!,Location
130,that your hotel allowed to stay with animals,Facility
131,The room was very clean.,Room
131,The staff was very nice.,Staff
131,"The location of the hotel was a bit far from the city centre,",Location
132,The breakfast prepared by Richard was delicious and freshly prepared. As well there are many choices from Cyprus to English breakfast.,Food
132,"Very friendly and the most helpful host. Impeccable service,",Staff
132,"very comfortable bed,",Room
133,the room was clean & the bed were comfortable,Room
133,the lady in reception (Maria) was VERY helpful,Staff
133,good value for money,Price
133,no swimming pool,Facility
134,"La veranda was lovely and clean,",Facility
134,"La veranda was lovely and clean,",Room
134,great friendly staff,Staff
134,great chef.,Food
134,Brilliant location for beach and bars.,Location
136,I did not expect such a beautiful hotel for such a cheap price,Price
136,Disgusting on the outside,Facility
136,but clean and beautiful on the inside,Facility
137,Room was clean and the bed was comfortable,Room
137,Friendly staff,Staff
137,great location,Location
137,The smell in the bathroom,Room
138,"very helpful and kind personel,",Staff
138,"very clean room and bathroom,",Room
139,the proximity to the airport,Location
139,nice restaurant at the hotel with a external balcony,Food
139,slow elevators,Facility
140,"Very clean, comfy bed,",Room
140,"close to the airport,",Location
140,"easy self check-in,",Check-in
140,great breakfast.,Food
144,nice and clean,Room
147,Amazing staff!,Staff
148,Very close of the airport.,Location
148,Very comfortable bed.,Room
150,"Everything was new, beautiful and clean.",Facility
150,That there is no kiosk open 24 hours close to the hotel.,Facility
152,"Close to the bars near the sea, close to the airport,",Location
152,clean rooms.,Room
152,We had a late check in and there was no one in the hotel to give us keys and the door was locked.,Check-in
155,"A comfortable, nice and clean hotel, The facilities are wonderful, brand new and full equiped.",Facility
155,near the airport.,Location
155,We really enjoyed the dinner in the restaurant. Everything was freshmade and prepare by the cheff...,Food
155,nice shower and bed.,Room
155,Excellent value for money,Price
157,"7 minutes walking to the beach,",Location
157,"modern new rooms, very clean.",Room
159,"Clean rooms,",Room
159,very friendly staff,Staff
159,and great location as it is close to the airport.,Location
160,The perfect hotel.,Facility
162,This hotel was amazing.,Facility
162,Exceptional friendly stuff,Staff
162,and the breakfast was really delicious.,Food
163,Easy late night check in,Check-in
164,All the staff were so accommodating and friendly.,Staff
164,"This is a really well run, family establishment",Facility
165,"Clean, modern,",Room
165,friendly staff,Staff
166,very clean and homely,Room
170,"The food was excellent. Richard, the chef prepared the fish, which was the best that I ever tasted.",Food
173,IMMACULATELY CLEAN!!! The bedding and floors were SOO CLEAN. how clean it was and the bed and linens were soo comfy and everything smelled good,Room
173,The staff so friendly and kind and helpful!!!,Staff
176,The room was spacious enough for two people and it was very clean.,Room
177,It’s close to the beach and the airport.,Location
177,The staff was nice and helpful. Extremely agile to respond.,Staff
178,Relaxing and comfortable.,Room
179,"Close to local restaurants and beach.
  Quiet.",Location
179,Very clean.,Room
179,Better TV channel selection would have been good for evening.,Room
180,"Sparkling clean, comfy bed,",Room
180,"friendly staff,",Staff
180,delicious breakfast (great freshly made croissants),Food
180,AC was a bit loud and the people in the next hotel were also loud to be heard from our room,Room
181,big clean rooms,Room
181,"warm welcoming, great staff.",Staff
182,Closure to the Airport,Location
182,Hospitality,Staff
183,Very close to the beach,Location
183,"very clean hotel,",Facility
183,the Team is very friendly,Staff
183,and the food is terrific.,Food
186,Very friendly staff.,Staff
190,Conveniently located.,Location
190,A very modern and contemporary hotel.,Facility
190,Excellent breakfast.,Food
190,We had a very late (1am) self check-in self check-in which worked very well.,Check-in
190,"Our room was rather small and lacked a balcony,",Room
191,Very clean,Room
191,and beside the airport,Location
192,staff was amazing.,Staff
192,and cleanliness.,Room
193,Room clean and spacious.,Room
193,Staff very helpful.,Staff
193,Excellent location for beach and airport transfer.,Location
196,The mattresses were hard.,Room
196,When we were booking the room there was a promotion from booking.com which didn't apply and we payed 80 euro more. After that I checked a new dates to book and we had similar number and if we do it it will be the same. This is a big fraud.,Booking-issue
197,"Perfect if you want to stay close to the airport.
  Mackenzy beach with restaurants is not that far away.",Location
198,clean and well organized.,Room
198,The staff were so friendly that we really felt we are at home with our relatives.,Staff
198,"The food at the restaurant was amazing. Richard as the head of Hotel's restaurant, cooks with passion and almost everything from scratch. So fresh and good looking. He makes a simple breakfast amazing and his lunch table, looks like a feast.",Food
199,"it is clean, beautiful",Room
199,"perfectly located being 5 minute walk from the beach, restaurants and cafés.",Location
199,kind service with a smile!,Staff
200,"Very clean and new,",Room
200,food was 5 star! The best club sandwich ever!!,Food
202,"Super clean,",Room
202,"close to the beach and great restaurants,",Location
202,"the staff is exceptionally nice,",Staff
203,The room was very clean and ac worked well.,Room
203,Staff was very friendly.,Staff
203,Definitely worth the price.,Price
204,Staff were very friendly.,Staff
204,Great to come to from the airport.,Location
206,Good value.,Price
206,Welcoming owners,Staff
206,great location. The beach is less than 5 minutes away.,Location
207,The WONDERFUL staff at this place makes all the difference.,Staff
208,"quiet area , easy find parking places",Location
208,"there was hair on the floor from previous visitors, it should be better cleaner .",Room
209,it was a really nice room,Room
209,we loved the breakfast,Food
209,very friendly people,Staff
209,"it was a bit noisy
  we could here everything",Room
211,The stuff was very friendly and helpfull. They exceeded my expectations.,Staff
211,Breakfast for charge same as anywhere else was enormous size and very delicious.,Food
211,Liked everythingz close to airport and town,Location
211,half an hour walking to town,Location
212,Very friendly and helpful staff !,Staff
212,Beautiful hotel,Facility
212,and very cheap,Price
214,The hotell organised a taxi for me,Staff
214,I arrived late at night. The hotell made sure I could check in.,Check-in
215,clean and simple,Room
216,"the room is very clean，the bed is comfortable,",Room
216,"the facilities are new,",Facility
219,"very clean room, comfy beds, very nice showers. all freshly renovated.",Room
219,it is sometimes a bit noisy because of the air traffic,Location
220,"Excellent communication on late check in process,",Check-in
220,"airy and comfortable room, super fast wifi,",Room
220,"This hotel is only 4km from the airport. If travelling light you can walk it in 40 minutes, saving a rip off cab fare. Just off the b4 highway.",Location
220,TV very light on choice only news channel in English.,Room
222,Its was a nice place clean,Facility
222,and the room was nice,Room
223,The indications at the desk were very helpful,Staff
229,Exceptionally friendly service of hotel and restarant in same building. Attention and service superb.,Staff
230,clean,Room
230,and very good value,Price
231,"very friendly staff,",Staff
231,rooms were clean,Room
231,and ideally situated for the airport,Location
232,"Great location for a late flight,",Location
232,everything was clean and nice in the room.,Room
232,We arrived late and got great instructions on how to get in on our own.,Check-in
232,"Terrific late breakfast at the café downstairs, the manager catered to our every need",Food
232,Great for the price and our purpose of a late night flight arrival,Price
233,"Beautiful property, super clean,",Facility
233,rooms where really spacious and fresh and clean.,Room
233,Breakfast was amazing in a beautiful setting and the management are wonderful. a little far from local shop but have everything we need in the cafe.,Food
233,a little far from local shop but have everything we need in the cafe.,Location
234,"great location for bars, restaurants and beach",Location
234,at a very good rate for the excellent standard of accommodation,Price
235,Great location,Location
235,"with very welcoming staff,",Staff
235,and very clean,Room
236,Modern hotel with good facilities.,Facility
236,"Although small, the room was comfortable. However, the bathroom was a good size and well appointed.",Room
236,Breakfast as an extra was good.,Food
236,"The hotel is about 100m from the 425 bus route which runs to the airport, about 10 minutes away.",Location
237,clean and comfortable,Room
238,close to the airport,Location
238,"stingy smell from the bathroom
  quite small room",Room
239,Light and airy and clean room.,Room
239,Not far from the sea.,Location
239,There should be a safety strip on the step to each floor coming up the stairs. You are unaware of it and could possibly trip as I did.,Facility
240,Thank you so much for a very warm welcome and comfortable stay. The hotel manager was reachable at all times due to my flight times and further delays. I couldn't have asked for more informative and reassuring service. 5 star service!,Staff
240,Thank you so much for a very warm welcome and comfortable stay. Most importantly it is very clean!,Room
240,The location is very nice of this hotel due to such close proximity to the beach and restaurants.,Location
241,spacious room and minifridge; large bathroom; very clean and comfy bed and lovely little balcony;,Room
241,staff was very friendly and lend me an adaptor several times.,Staff
241,i didnt want to be in the center so for me the location was perfect! walking distance to airport and close to the more luxurious beach strip with delicious restaurants.,Location
241,"for the price that it was, it only had some random unlabeled shampoo dispenser attached to the shower wall. dont know if it was body or hair shampoo but it wasnt very nice at all,",Room
241,"for the price that it was, it only had some random unlabeled shampoo dispenser attached to the shower wall. dont know if it was body or hair shampoo but it wasnt very nice at all, and seemed a little cheap considering the hotel cost.",Price
242,"Very clean, comfortable and pleasant!",Room
242,The staff were very accommodating and kind.,Staff
243,Very modern clean beautifully kept hotel,Facility
243,near beaches and restaurants,Location
246,The owners were very friendly and helpful.,Staff
246,"The hotel is small, which we liked,",Facility
246,and is about 10 minutes from the airport.,Location
246,"The rooms were a nice size, very clean, and modern. We had both a family room and a double room, and they were perfect for our quick stay.",Room
246,"The taxi driver had a hard time finding it to drop us off, as it’s amongst several apartment buildings on a small side street. That’s the only negative. The location is a bit hard to find. The taxi drivers GPS had trouble finding it, but eventually we did. It’s amongst several apartment buildings on a small side street.",Location
246,"We also had dinner there, and the food was very good and the chef was very friendly.",Food
247,cleanliness,Room
248,"Staff super kind, professional, polite and helpful.",Staff
248,"Bed was soooooooo comfortable,",Room
248,"Lack of decent TV channels, only in the evening (past 9 pm) you can actually find something to watch. There are only ~10 channels, half in Greek and half in Russian, and maybe one or two in English (in the evenings)",Room
251,friendly staff,Staff
252,Exceptionally clean and brand new.,Room
252,Exceptionally clean and brand new.,Facility
252,Breakfast was freshly made and delicious.,Food
252,Everyone very friendly,Staff
254,Wonderful modern family run small hotel.,Facility
254,It’s very close to the airport which worked for us.,Location
254,"The rooms are spotless, the shower fantastic. The pictures are very true to life.",Room
254,The family were so helpful.,Staff
256,clean and modern,Room
257,"Very modern, clean hotel",Facility
257,"Great location, quiet",Location
257,Lovely staff,Staff
259,excellent location near airport then easy drive into larnaca.,Location
259,very friendly and helpful staff.,Staff
259,only thing was the bathroom floor got wet from the shower and became very slippery. needs two foot towels rather than just one.,Room
260,"Friendly staff,",Staff
260,delicious breakfast.,Food
260,Very comfortable beds.,Room
260,10 mins walk to Mackenzie Beach and 40 mins (3 km) walk to downtown on a nice promenade.,Location
262,"Clean, We slept well in a comfy clean bed",Room
262,"great attentive staff, The staff could not be more helpful and showed us to a really nice room with a balcony over the front of the hotel, before they arranged a car for us to get back to the airport to collect our hire car.",Staff
262,The hotel was close to the airport - 6 minutes by taxi (€20) - and we arrived late.,Location
262,and had a terrific breakfast on the terrace,Food
263,room was big enough with comfy beds for family of four; liked having a small balcony for outdoor space.,Room
264,Friendly staff.,Staff
264,clean and comfortable beds.,Room
266,it’s clean,Room
266,and very nice crew,Staff
267,Helpful staff arranged a taxi for us from the airport to the hotel.,Staff
267,The hotel was basic but clean and comfortable.,Facility
268,La Veranda has been recently refurbished,Facility
268,"and the rooms and bathroom, were both modern and comfortable, balcony with sea view.",Room
268,Easy walk to Mackenzie Beach and short journey from airport.,Location
268,"Good breakfast available if required,",Food
268,staff extremely helpful and friendly.,Staff
270,It was easy at the time to park car outside.,Facility
270,"Clean rooms,",Room
270,helpful staff.,Staff
271,Location very convenient. Near the beach and the Restaurants. Public Bus station at 30 meters from the hotel. Also very close to the airport.,Location
272,La Veranda Hotel is very comfortable and clean.,Facility
272,The staff is very nice,Staff
272,The Breakfast is so delicious,Food
272,Great location !! Near Mackenzie beach and very close to the center.,Location
274,"Every staff member I encountered, from the valet to the check- in to the cleaning staff were delightful and eager to help!",Staff
275,"The rooms were clean, very comfortable,",Room
275,and the staff was amazing. They went over and beyond to help make my stay enjoyable.,Staff
277,"The staff is always very helpful, exceptional!",Staff
277,"Wanted to have in the shower shampoo, body soap and hair conditioner. The staff explained that the dispancer in the shower holds 3 in 1. Really?!",Room
278,"The staff were wonderful, so friendly and welcoming",Staff
278,and the food was superb.,Food
278,The hotel was clean,Facility
278,and easy for the airport.,Location
279,The hotel is in a residential neighborhood of apartments and is modern.,Facility
279,The bed linens were wonderful and the mattress was neither too hard or soft.,Room
279,Breakfast is not included in the hotel cost. (no menu - you get whatever is served).,Food
279,"However, there is small restaurant within the hotel lobby that charged $10 euros for a very nice hot breakfast",Food
279,The hotel is in a residential neighborhood of apartments and is modern. The hotel is approx 10 minute drive from the airport and 20 minute drive from the historical area.,Location
281,This hotel is in a great location for the airport and restaurants.,Location
281,"The owner and staff are so welcoming and helpful. Taking time to print off flight documentation, booking taxis and even when my flight was cancelled, I was able to keep my room for longer without a problem.",Staff
282,"Very nice hotel,",Facility
282,"close to the beach, but situated in a quiet place",Location
282,"Helpful, friendly staff.",Staff
282,Tasty breakfast.,Food
284,"La Veranda was very clean, and was flexible with our schedule.",Facility
284,"provided everything needed (even a bottle of water in the room!),",Room
284,The staff was excellent.,Staff
284,"There are a series of delicious and fun restaurants on the beach quite close to the hotel, which the staff of the hotel kindly told us about.",Location
284,The view from the rooms,Room
285,Clean and nice place,Facility
285,It takes too long hot water to reach tap/shower in the room,Room
286,Very convenient location for arriving at the airport.,Location
287,"Very clean, nice bed and linen.",Room
287,Good value.,Price
287,Allowed to take dog was the reason for booking.,Facility
287,Some smell from bathroom/water.,Room
288,Boutique hotel,Facility
288,"Boutique hotel in the quiet area, Only few kilometers from the airport but quite distant from the city center. On the other hand - close to salt lake to have opportunity to watch flamings.",Location
288,but quite distant from the city center.,Location
288,Staff was friendly and helpful,Staff
288,"Good, tasty breakfest.",Food
291,Friendly staff,Staff
291,Very clean and cozy,Room
291,Close to the airport,Location
294,clean basic,Room
296,TV CHANNELS TO BE FIXED :),Room
297,recently refurbished and very clean!,Facility
297,recently refurbished and very clean!,Room
298,location is good you can take bus 425 from the airport to somewhere close enough to the hotel.,Location
298,stuff were super nice!,Staff
298,"room is spacious and clean, bed is comfy too.",Room
299,"The staff was very welcoming and friendly,",Staff
299,"the room is just as in the pictures; newly renovated, fully functional and most importantly comfortable and clean.",Room
299,"The hotel's location is convenient. Very easy to catch public transportations, many café around and close to the center.",Location
300,"The staff was so helpful, friendly and welcoming. My one night stay felt like home!",Staff
300,"Great location very close to the airport, 1 minute walk to the bus station, beach and restaurants.",Location
300,"The room was very clean and spacious. The mini bar was rich and very well priced,",Room
300,even breakfast was presentable and tasty!,Food
300,It was cold for a swim:),Facility
301,"Christmas vibes, nice ambiance.",Facility
301,Staff make you feel at home.,Staff
301,Quiet area.,Location
302,It was very clean.,Room
303,"Very welcoming couple, helpful, and happy to help for any situation or question.",Staff
304,"What i liked most about the hotel is the room, bed sheets and toilet are super clean. Bed is very comfortable.",Room
304,"On top of that, the hotel is less than a minute away on foot from the bus station. 
  The city is nice, a lot of restaurants, bars and shops in the area. And of course lots and lots of beach shores to relax at, one of which you can get on foot for less than 5 minutes.",Location
304,"The staff was nice, they gave me recommendations on what places to visit and how to roam around.",Staff
