ID,Topic,Selected Content,Answer
26,Off,Keep up the great work. Leaving..in fact just re booked the hotel for 2 weeks time 😁,Positive
27,Room,"so comfortable, clean",Positive
27,Staff,friendly staff,Positive
27,Location,perfect for overnight stay before flying from Larnaca Airport.,Positive
27,Off,nothing.,Off
28,Staff,Staff is very polite and caring.,Positive
28,Location,Surrounding buildings are under construction and poorly lit.,Negative
28,Off,Thank you,Off
30,Staff,Staff were lovely. Service was great.,Positive
30,Room,The room was spotless.,Positive
30,Location,Great location for restaurants. Great location for a short drive to the airport.,Positive
30,Off,Not applicable,Off
31,Room,"Clean, comfortable,",Positive
31,Staff,friendly staff.,Positive
31,Food,Great restaurant beneath the hotel - food excellent & reasonably priced.,Positive
31,Location,Very close to Mackenzy beach & Larnaca airport.,Positive
31,Off,"We would definitely stay there again, All good",Positive
32,Room,The bed was great. Rooms clean.,Positive
32,Staff,Staff were so kind.,Positive
32,Off,Nothing.,Off
34,Staff,welcoming,Positive
34,Price,value for money,Positive
34,Room,more hooks on walls for towels etc.,Negative
34,Off,location,Off
35,Room,"There was a problem with heating water at that time and we can understand, but eventually we couldn't manage to have a proper shower with hot water.",Negative
36,Location,"we were surprised at the location in a small side street,",Negative
36,Location,but it was only a 10-minute walk to the sea front.,Positive
36,Staff,The receptionist on check in was very good and explained the information very clearly to us.,Positive
36,Room,The room was smaller than I expected but as we were only there a few days it was acceptable. I am very fussy about beds and pillows,Negative
36,Room,"I had no problem as they were very clean, and the bed was really comfortable.",Positive
36,Food,"The chef was very polite, and his food was excellent, he had passion and it showed in his presentation.",Positive
36,Food,We may have missed it but there was no opening and closing times of the bar on display.,Negative
36,Off,"When we arrived,",Off
38,Room,great rooms - nice and cool,Positive
39,Room,It was really clean and spacious,Positive
40,Location,"Nice location, not far from Airport and Mackenzie beach.",Positive
40,Room,"My only real observation was that there was no net curtain or blind so one needed to ensure that the curtain was closed,",Negative
40,Off,especially when going for a shower as the room is opposite some apartments that have a clear view into the room!,Off
41,Staff,Super friendly and helpful staff.,Positive
41,Location,"A good location 5 lins away from the airport by car, 5 mins walk to the beach.",Positive
41,Location,"It is typical of all restaurants in the area - the kitchen shuts at 22:30 or so, and there is no food to be had afterwards.",Negative
41,Room,"Clean modern rooms,",Positive
41,Food,very nice breakfast.,Positive
41,Off,I would just flag that ahead of time in the welcome email to those arriving from the UK (most early afternoon flights land after 23:00) and have something like nuts / chips available to buy on arrival.,Off
42,Room,clean,Positive
42,Staff,"hospitality,",Positive
43,Room,clean spacious practical,Positive
45,Room,"Recently updated, everything was me and clean.",Positive
45,Food,"Restaurant was a surprise hit: good food, very reasonably priced, so an easy choice to eat at the hotel when we wouldn't usually.",Positive
45,Location,The beach is about 5 minutes walk away.,Positive
45,Location,There is a bit of plane noise in the afternoon and evening because it is right near the takeoff end of the runway,Negative
45,Off,"but next to no departures in the morning, so not a problem",Positive
46,Price,Great value for money,Positive
47,Staff,very helpful staff who organised a taxi to collect us in the morning.,Positive
47,Price,Good value for money.,Positive
48,Room,Clean and comfortable rooms,Positive
48,Staff,lovely owner,Positive
49,Location,Great location close to the airport and a short walk to the sea.,Positive
49,Price,Great value for money.,Positive
49,Room,The 2 rooms were big enough for a family of 5.,Positive
50,Location,Great little hotel close to airport,Positive
50,Room,Not very Soundproof,Negative
52,Off,Everything was good. Nothing,Positive
53,Facility,"nice, renovated hotel",Positive
53,Room,comfortable bed,Positive
53,Location,"close to the airport and Mackenzie Beach,",Positive
53,Food,"delicious breakfasts in the hotel restaurant,",Positive
54,Room,Very nice and clean room.,Positive
55,Location,Good for airport transfers,Positive
55,Room,A lot of mosquitos,Negative
56,Location,"Perfect place to stay for early morning / late night flights as it’s situated within 5 minutes from the airport. given that a lot of guests book here for its prime location near the airport,",Positive
56,Room,beds are extremely comfortable,Positive
56,Staff,amazing hospitality from the staff.,Positive
56,Food,it would’ve been great if breakfast started at 7 rather than 8.,Negative
56,Off,"but that’s just a suggestion, everything was perfect for one nights stay.",Positive
57,Room,"Very clean, very comfortable room.",Positive
57,Staff,Staff was extremely helpful. They ordered a taxi for us to get to the airport very early in the morning.,Positive
57,Location,"We were able to enjoy a very nice, short walk to the beach where there were many restaurants available to choose from.",Positive
57,Off,We will definitely stay here again when we come back to Larnaca.,Positive
58,Location,"Close to the airport,",Positive
58,Staff,the staff were nice and helpful.,Positive
58,Room,The room wasn't soundproof so you can hear the planes.,Negative
58,Location,The room wasn't soundproof so you can hear the planes.,Negative
59,Location,Close to airport so very convenient for overnight stay.,Positive
59,Check-in,Also very easy to check-in if you arrive late at night,Positive
60,Check-in,clear instructions left access to our room made easy,Positive
60,Off,Arrived in the early hours,Off
61,Food,Excellent range of food offered,Positive
61,Staff,good service.,Positive
61,Off,no issues for overnight stay,Positive
62,Location,"Comfortable location near the airport, and near the beach.",Positive
62,Staff,Caring and helpful host.,Positive
62,Food,Restaurant on site,Positive
62,Room,"Comfortable beds, the best linen and duvets I had
  in my entire 10 day trip.
  In room mini bar+ tea/ coffee. Clean modern bathroom.
  Good AC.",Positive
62,Room,"Our son had a folding bed which could have been better, especially considering how comfortable the regular beds were.",Negative
62,Off,We liked La Veranda,Positive
63,Facility,"It’s been renovated to a exceptionally high standard , it really is well up to 4* standard.",Positive
63,Price,Exceptional value .,Positive
63,Off,I cannot find a single negative point…which is unusual. Having spent 45 years travelling as part of work I am perhaps over critical.,Positive
64,Location,"We were looking for the hotel close to the airport, and it was a perfect match. The hotel is located in a close proximity to the airport (5 min by car or 10 min by bus).",Positive
64,Food,"Even though the kitchen was closing, they made us a pizza which was really nice.",Positive
64,Room,"The room was new and clean,",Positive
64,Staff,the staff reached out in advance and provided us with the detailed instructions of how to get to the room when reception closes.,Positive
64,Location,"you can hear all the noise from the planes. If you are looking for a quiet stay, you should be aware that the hotel is really close to the airport,",Negative
64,Off,"We arrived late and were super hungry, so we decided to eat in the place at the ground floor.",Off
67,Staff,friendly staff,Positive
67,Off,nothing so far,Off
68,Staff,Friendly,Positive
68,Price,"good value,",Positive
68,Room,clean,Positive
70,Facility,Peaceful and clean,Positive
70,Room,Peaceful and clean,Positive
70,Staff,friendly helpful staff,Positive
70,Off,Nothing,Off
71,Check-in,Got very clear instructions how to get access to our room.,Positive
71,Staff,The staff of the hotel is extremely friendly and nice.,Positive
71,Location,"The bus stop with direct access to the airport is a few steps from the accommodation. the airport can be reached in a few minutes. at the same time, Mackenzie beach is also easily accessible on foot.",Positive
71,Off,"We arrived after midnight. but the accommodation cannot do anything about this. overall, we are extremely satisfied.",Positive
71,Location,"there is no shop or pharmacy in the area,",Negative
72,Check-in,I received very clear instructions how to enter the hotel and access my room.,Positive
72,Off,I arrived late.,Off
73,Staff,Lovely staff doing best to assist always.,Positive
73,Room,wonderful room.,Positive
74,Location,"The hotel is based on a quiet place near to the airport, beach and the Salt Lake in the city. The location is excellent, as there are lots of parking places around, as well.",Positive
74,Room,"Regarding the rooms - very clean and cozy ones, with comfortable beds.",Positive
74,Food,"Furthermore, there is a restaurant in the hotel with delicious food.",Positive
74,Staff,The staff of the hotel is extremely friendly and nice.,Positive
75,Room,Disappointed we didn't have a balcony,Negative
76,Facility,Feels new and clean,Positive
76,Room,Feels new and clean,Positive
76,Location,perfect location nearby the beach,Positive
77,Staff,The staff is very VERY helpful and eager to assist,Positive
77,Off,All went amazing! we’d love to stay longer,Positive
78,Staff,Nice friendly staff.,Positive
78,Room,"clean, nice room, big bathroom",Positive
78,Off,nothing,Off
79,Room,New clean setup,Positive
79,Staff,friendly helpful staff,Positive
79,Off,All good,Positive
80,Facility,It is a new hotel. Everything was clean.,Positive
80,Food,We had dinner. It was delicious and inexpensive.,Positive
80,Location,Mc Kenzie Beach within walking distance.,Positive
81,Location,Close to the airport,Positive
81,Room,clean spacious rooms.,Positive
81,Facility,No 24 hour reception so not easy to access entry at odd hours.,Negative
82,Staff,Amazing staff,Positive
82,Room,"super clean 
  modern",Positive
82,Location,great location,Positive
83,Staff,Staff was very nice and friendly.,Positive
83,Room,Room was clean and comfortable.,Positive
83,Location,The location was a little bit far from the centre.,Negative
86,Facility,Lovely little hotel with very friendly staff.,Positive
86,Staff,Lovely little hotel with very friendly staff.,Positive
86,Food,Breakfast was excellent.,Positive
87,Staff,Super friendly staff,Positive
87,Food,nice restaurant.,Positive
88,Facility,Clean comfortable little hotel.,Positive
88,Staff,Lovely friendly staff.,Positive
88,Location,Good location and easily reached from the airport.,Positive
88,Off,Nothing. It was perfect for my stay.,Off
89,Check-in,instructions for access were sent in advance and absolutely perfect.,Positive
89,Room,"In a clean, comfortable bed within minutes of arrival.",Positive
89,Off,"We had a horrible 4am arrival,",Negative
90,Off,"position, staff",Positive
90,Room,very clean,Positive
90,Facility,parking not always easy,Negative
91,Location,Close to Larnaca airport.,Positive
91,Room,Very nice rooms that were very clean.,Positive
91,Staff,"helpful, friendly staff.",Positive
92,Check-in,"we did late night check in, that was super easy and comfortable",Positive
92,Room,it was a bit badly soundproofed,Negative
94,Off,The best hotel at Mackenzie!,Positive
94,Staff,"Amazing staff,",Positive
94,Facility,modern facility,Positive
94,Food,very tasty food with a super service at the restaurant by the hotel.,Positive
95,Room,clean and quiet,Positive
95,Location,perfect location for the airport,Positive
96,Staff,"the staff is very nice,",Positive
96,Room,the room is very comfortable.,Positive
96,Room,some of the towels were dirty,Negative
97,Food,The food we had was excellent,Positive
97,Staff,service was excellent,Positive
97,Off,we will go back.,Positive
98,Off,"We used the hotel only for one night, which I wished to visit but didn't have time.",Positive
98,Location,"because it is close to the airport. but i must admit the location offers some nice places for at least a two-nights stay for sure. The nearby beach (mackenzie) is nice, long, with some cool and fancy bars. there is also the salt lake",Positive
98,Facility,"The Hotel itself was very nice, spacious, clean and modern.",Positive
98,Room,Only thing I didn't like were the blankets - too thick for this incredible hot hot hot weather.,Negative
99,Room,very clean,Positive
99,Staff,the staff was wonderful,Positive
100,Room,"really clean,",Positive
100,Staff,"exceptional staff, incredibly polite",Positive
100,Off,highly recommend,Positive
101,Staff,The staff were very hospitable and very helpful.,Positive
101,Room,The cupboards/wardrobes need doors and they should be drawers in the room to keep the rooms tidy.,Negative
102,Room,Nice modern and clean rooms.,Positive
102,Location,"The location is excellent close to Airport, Makenzie beach and touristic area, and bus stop going from Airport to town is few meters away.",Positive
102,Staff,Very friendly staff.,Positive
102,Off,Highly recommended.,Positive
103,Room,The room was recently refurbished and very spatious. Nice view of the salt lake by the terrace. Sinks and toilette separated by a door inside the bathroom.,Positive
103,Room,No soap or shampoo in the shower. There was hand soap instead.,Negative
105,Off,We only stayed for a night but we were super happy with our stay at the La Veranda Hotel. I liked everything about the property,Positive
105,Staff,The staff was super nice,Positive
105,Room,the rooms were very clean and the bathroom was spacious.,Positive
106,Off,We used the accommodation for one night before departure.,Positive
106,Location,The advantage is the proximity to the airport,Positive
106,Room,very comfortable beds.,Positive
106,Staff,The hotel staff should learn better English,Negative
106,Off,"confusing the term ""fridge"" and ""freezer"" can be fatal for a person with diabetes. The team froze our insulin, meaning it was unusable. Luckily we flew home the next day. If it happened before the holidays, we've got the entertainment covered.",Negative
107,Room,Rooms large and newly redecorated in a contemporary style. Bed very comfortable,Positive
107,Location,Very convenient for the airport,Positive
107,Food,Breakfast was excellent.,Positive
107,Off,Nothing,Off
108,Off,everything nothing,Positive
109,Facility,"Clean hotel,",Positive
109,Room,lovely rooms with comfortable beds.,Positive
109,Location,Great location for overnight stay for late flights.,Positive
109,Staff,Very helpful staff,Positive
110,Off,I went there while on transit in Larnaca,Positive
110,Facility,"the building is completely refurbished, it is confortable",Positive
110,Check-in,the self check in was very easy.,Positive
112,Facility,recently refurbished,Positive
112,Food,"very nice restaurant, good food and service",Positive
113,Staff,Staff excellent and accommodating.,Positive
113,Room,Very nice clean rooms,Positive
114,Off,"I really enjoyed this place, Perfect for our short stay, Very impressed however anything longer than a 2 night stay and you may get a little bored.
  Highly recommended, I have no complaints.",Positive
114,Facility,It didn't have a pool,Negative
114,Facility,and the hotel was immaculately clean.,Positive
114,Location,"but it was 10 minutes from the airport by taxi, 15 by shuttle bus. There are also connecting buses from ayia napa to this hotel via Larnaca which we used for our early morning start from Larnaca Airport. McKenzie beach is close by, and the food restaurants off the opposite beach were only a ten minute walk.",Positive
114,Room,Air con and fridge in rooms with a bottle of water provided.,Positive
114,Staff,"I was particularly impressed when the staff emailed me via booking.com and after asking me what time I was arriving (the hotel is not manned 24/7 but arrangements are made to collect your room key in the hotel if you are arriving outside of normal hours), told me which bus routes I needed to take.",Positive
115,Staff,"Stuff in the hotel were very helpful and nice,",Positive
115,Off,"my stay in la veranda was perfect,",Positive
115,Location,"mackenzie beach is few minutes, airport near, best location in larnaca.",Positive
117,Location,"The location next to the airport is great for flights very early in the morning, because it only takes you 5 minutes to get to the airport. 
  The beach is a 10 minutes walk away",Positive
118,Location,location near the airport and beach 10/10.,Positive
118,Staff,front desk are absolutely perfect 10/10,Positive
118,Food,hotel restaurant delicious! 10/10,Positive
118,Room,the room perfect!,Positive
118,Off,"nothing to say,",Positive
120,Staff,Helpful staff,Positive
120,Location,close to airport,Positive
120,Room,The room was small but adequate,Negative
121,Off,#NAME?,Off
123,Facility,Nice and simple hotel.,Positive
123,Location,Very convenient location close to the airport.,Positive
123,Staff,The front desk was very friendly and helpful.,Positive
123,Location,The area was a little noisy when we stayed there.,Negative
124,Staff,Very friendly staff,Positive
125,Off,The best 3 stars hotel I have been ever!,Positive
125,Room,"Clean as hospital, super comfy,",Positive
125,Location,"close to one of the best beaches of Larnaca region, perfectly connect by public transport with Larnaca city centre,",Positive
125,Price,all that with quite reasonable price.,Positive
125,Taxi-issue,"Taxi drivers who cooperate with hotel, both times, from airport and back, charged 2-3 EUR above the price agreed with the hotel (20 EUR). To clarify, it is not about the money, I would certainly give that money as a tip, but feeling that someone is cheating you and stilling money from you is really awkward and ugly, especially when you are alone with small child in the middle of the night and have no alternative way of transport.",Negative
126,Food,The food was very tasty,Positive
126,Staff,"staff very helpful and friendly,",Positive
126,Room,"very nice bathroom, and the room was well equipped and also smelled very nice.",Positive
126,Location,It was a bit loud outside,Negative
126,Off,"(I didn't have breakfast but ate dinner at the restaurant), but that was just normal for summertime I guess.",Positive
127,Room,very clean and modern,Positive
128,Room,"very clean and comfortable,",Positive
128,Location,close to the airport,Positive
129,Staff,The guy at the reception was very kind and helpful!,Positive
129,Room,The room and bathroom were of very good size and clean! Our bed was so comfortable!,Positive
129,Location,We wanted something close to Makenzie as we had plans for the night and this place was just perfect!,Positive
130,Facility,that your hotel allowed to stay with animals,Positive
131,Room,The room was very clean.,Positive
131,Staff,The staff was very nice.,Positive
131,Location,"The location of the hotel was a bit far from the city centre,",Negative
131,Off,"Using the air conditioner was great after a hot day outside. but you can take the 425 bus, which arrives fairly often at the station near the hotel.",Positive
132,Food,The breakfast prepared by Richard was delicious and freshly prepared. As well there are many choices from Cyprus to English breakfast.,Positive
132,Staff,"Very friendly and the most helpful host. Impeccable service,",Positive
132,Room,"very comfortable bed,",Positive
132,Off,pleasant and relaxing staying in Larnaca.,Positive
133,Off,We took the suit has we were 2 adults & 3 kids. if the hotel had swimming pool it would be perfect,Positive
133,Room,the room was clean & the bed were comfortable,Positive
133,Staff,the lady in reception (Maria) was VERY helpful,Positive
133,Price,good value for money,Positive
133,Facility,no swimming pool,Negative
134,Facility,"La veranda was lovely and clean,",Positive
134,Room,"La veranda was lovely and clean,",Positive
134,Staff,great friendly staff,Positive
134,Food,great chef.,Positive
134,Location,Brilliant location for beach and bars.,Positive
136,Price,I did not expect such a beautiful hotel for such a cheap price,Positive
136,Facility,Disgusting on the outside,Negative
136,Facility,but clean and beautiful on the inside,Positive
137,Room,Room was clean and the bed was comfortable,Positive
137,Staff,Friendly staff,Positive
137,Location,great location,Positive
137,Room,The smell in the bathroom,Negative
138,Off,"Great localization, I recommend this place a lot 
  12 stars :)",Positive
138,Staff,"very helpful and kind personel,",Positive
138,Room,"very clean room and bathroom,",Positive
139,Location,the proximity to the airport,Positive
139,Food,nice restaurant at the hotel with a external balcony,Positive
139,Facility,slow elevators,Negative
140,Room,"Very clean, comfy bed,",Positive
140,Location,"close to the airport,",Positive
140,Check-in,"easy self check-in,",Positive
140,Food,great breakfast.,Positive
144,Room,nice and clean,Positive
147,Staff,Amazing staff!,Positive
148,Location,Very close of the airport.,Positive
148,Room,Very comfortable bed.,Positive
148,Off,Nothing,Off
150,Facility,"Everything was new, beautiful and clean.",Positive
150,Facility,That there is no kiosk open 24 hours close to the hotel.,Negative
151,Off,"Perfect stay. 
  Thank you.",Positive
152,Location,"Close to the bars near the sea, close to the airport,",Positive
152,Room,clean rooms.,Positive
152,Check-in,We had a late check in and there was no one in the hotel to give us keys and the door was locked.,Negative
152,Off,We had to ask the taxi driver to make the call because it was cyprus number.,Negative
155,Off,It was exactly what we were looking for.,Off
155,Facility,"A comfortable, nice and clean hotel, The facilities are wonderful, brand new and full equiped.",Positive
155,Location,near the airport.,Positive
155,Food,We really enjoyed the dinner in the restaurant. Everything was freshmade and prepare by the cheff...,Positive
155,Room,nice shower and bed.,Positive
155,Price,Excellent value for money,Positive
157,Location,"7 minutes walking to the beach,",Positive
157,Room,"modern new rooms, very clean.",Positive
159,Room,"Clean rooms,",Positive
159,Staff,very friendly staff,Positive
159,Location,and great location as it is close to the airport.,Positive
160,Facility,The perfect hotel.,Positive
160,Off,I liked everything.,Positive
162,Facility,This hotel was amazing.,Positive
162,Staff,Exceptional friendly stuff,Positive
162,Food,and the breakfast was really delicious.,Positive
163,Check-in,Easy late night check in,Positive
164,Staff,All the staff were so accommodating and friendly.,Positive
164,Facility,"This is a really well run, family establishment",Positive
164,Off,"and couldn't have been more perfect for our stay., Nothing",Off
165,Room,"Clean, modern,",Positive
165,Staff,friendly staff,Positive
166,Room,very clean and homely,Positive
166,Off,noting,Off
170,Food,"The food was excellent. Richard, the chef prepared the fish, which was the best that I ever tasted.",Positive
170,Off,All in all the stau at the hotel was a wonderful experience!,Off
173,Room,IMMACULATELY CLEAN!!! The bedding and floors were SOO CLEAN. how clean it was and the bed and linens were soo comfy and everything smelled good,Positive
173,Staff,The staff so friendly and kind and helpful!!!,Positive
174,Off,all good,Positive
175,Off,Location,Positive
176,Room,The room was spacious enough for two people and it was very clean.,Positive
177,Location,It’s close to the beach and the airport.,Positive
177,Staff,The staff was nice and helpful. Extremely agile to respond.,Positive
177,Off,Nothing to complain.,Off
178,Room,Relaxing and comfortable.,Positive
179,Location,"Close to local restaurants and beach.
  Quiet.",Positive
179,Room,Very clean.,Positive
179,Room,Better TV channel selection would have been good for evening.,Negative
180,Room,"Sparkling clean, comfy bed,",Positive
180,Staff,"friendly staff,",Positive
180,Food,delicious breakfast (great freshly made croissants),Positive
180,Room,AC was a bit loud and the people in the next hotel were also loud to be heard from our room,Negative
181,Off,Everything was perfect,Off
181,Room,big clean rooms,Positive
181,Staff,"warm welcoming, great staff.",Positive
182,Location,Closure to the Airport,Positive
182,Staff,Hospitality,Positive
183,Location,Very close to the beach,Positive
183,Facility,"very clean hotel,",Positive
183,Staff,the Team is very friendly,Positive
183,Food,and the food is terrific.,Positive
186,Staff,Very friendly staff.,Positive
187,Off,"Wonderful experience, exceeded our expectations. Would stay again!",Off
188,Off,lovely,Off
190,Location,Conveniently located.,Positive
190,Facility,A very modern and contemporary hotel.,Positive
190,Food,Excellent breakfast.,Positive
190,Check-in,We had a very late (1am) self check-in self check-in which worked very well.,Positive
190,Room,"Our room was rather small and lacked a balcony,",Negative
190,Off,which can make a lot of difference (we had one on our previous stay).,Negative
191,Room,Very clean,Positive
191,Location,and beside the airport,Positive
192,Staff,staff was amazing.,Positive
192,Off,location,Positive
192,Room,and cleanliness.,Positive
193,Room,Room clean and spacious.,Positive
193,Staff,Staff very helpful.,Positive
193,Location,Excellent location for beach and airport transfer.,Positive
196,Room,The mattresses were hard.,Negative
196,Booking-issue,When we were booking the room there was a promotion from booking.com which didn't apply and we payed 80 euro more. After that I checked a new dates to book and we had similar number and if we do it it will be the same. This is a big fraud.,Negative
197,Location,"Perfect if you want to stay close to the airport.
  Mackenzy beach with restaurants is not that far away.",Positive
198,Off,"Everything was exactly as promised,",Positive
198,Room,clean and well organized.,Positive
198,Staff,The staff were so friendly that we really felt we are at home with our relatives.,Positive
198,Food,"The food at the restaurant was amazing. Richard as the head of Hotel's restaurant, cooks with passion and almost everything from scratch. So fresh and good looking. He makes a simple breakfast amazing and his lunch table, looks like a feast.",Positive
199,Room,"it is clean, beautiful",Positive
199,Location,"perfectly located being 5 minute walk from the beach, restaurants and cafés.",Positive
199,Staff,kind service with a smile!,Positive
200,Room,"Very clean and new,",Positive
200,Food,food was 5 star! The best club sandwich ever!!,Positive
201,Off,flexibility,Positive
202,Room,"Super clean,",Positive
202,Location,"close to the beach and great restaurants,",Positive
202,Staff,"the staff is exceptionally nice,",Positive
202,Off,next time we will come for more than one night!,Positive
203,Room,The room was very clean and ac worked well.,Positive
203,Staff,Staff was very friendly.,Positive
203,Price,Definitely worth the price.,Positive
204,Staff,Staff were very friendly.,Positive
204,Location,Great to come to from the airport.,Positive
205,Off,Perfect for a great night of sleep before a flight.,Positive
206,Price,Good value.,Positive
206,Staff,Welcoming owners,Positive
206,Location,great location. The beach is less than 5 minutes away.,Positive
207,Staff,The WONDERFUL staff at this place makes all the difference.,Positive
207,Off,I only stayed for 1 night but would absolutely stay again,Positive
208,Location,"quiet area , easy find parking places",Positive
208,Room,"there was hair on the floor from previous visitors, it should be better cleaner .",Negative
209,Room,it was a really nice room,Positive
209,Food,we loved the breakfast,Positive
209,Staff,very friendly people,Positive
209,Room,"it was a bit noisy
  we could here everything",Negative
211,Staff,The stuff was very friendly and helpfull. They exceeded my expectations.,Positive
211,Food,Breakfast for charge same as anywhere else was enormous size and very delicious.,Positive
211,Location,Liked everythingz close to airport and town,Positive
211,Location,half an hour walking to town,Negative
212,Staff,Very friendly and helpful staff !,Positive
212,Facility,Beautiful hotel,Positive
212,Price,and very cheap,Positive
212,Off,"10/10 recommended, There was nothing that we didn't like",Positive
214,Staff,The hotell organised a taxi for me,Positive
214,Check-in,I arrived late at night. The hotell made sure I could check in.,Positive
215,Room,clean and simple,Positive
216,Room,"the room is very clean，the bed is comfortable,",Positive
216,Facility,"the facilities are new,",Positive
216,Off,i like this hotel,Positive
217,Off,"Very nice, Everything",Positive
219,Room,"very clean room, comfy beds, very nice showers. all freshly renovated.",Positive
219,Location,it is sometimes a bit noisy because of the air traffic,Negative
219,Off,nothing,Off
220,Check-in,"Excellent communication on late check in process,",Positive
220,Room,"airy and comfortable room, super fast wifi,",Positive
220,Location,"This hotel is only 4km from the airport. If travelling light you can walk it in 40 minutes, saving a rip off cab fare. Just off the b4 highway.",Positive
220,Room,TV very light on choice only news channel in English.,Negative
220,Off,and a tip.,Off
222,Facility,Its was a nice place clean,Positive
222,Room,and the room was nice,Positive
223,Staff,The indications at the desk were very helpful,Positive
225,Off,"Everything, Nothing",Off
229,Staff,Exceptionally friendly service of hotel and restarant in same building. Attention and service superb.,Positive
230,Off,"location, all was good nothing bad to say",Positive
230,Room,clean,Positive
230,Price,and very good value,Positive
231,Staff,"very friendly staff,",Positive
231,Room,rooms were clean,Positive
231,Location,and ideally situated for the airport,Positive
